,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.00047600719099502716,0.0004715317507278554,0.00045706500989833583,0.00046737003157475983,0.00016164975044489195,0.0001493762637732179,0.00015148784700964575,0.0001601908071650221
rcp26,soy,0.001468216687214107,0.001448274421575536,0.0014528541421130357,0.001455507934920923,0.0019088670491207126,0.001876472624103502,0.0019718379132495317,0.0019232551880343784
rcp26,ric,0.001264666480968448,0.0012958974547489228,0.0012827729746437498,0.0012850558954237228,0.0026283788059169827,0.0025474535165599566,0.0026681684782671774,0.0025224410830385446
rcp26,whe,0.0004914672774219577,0.00048557729953075215,0.0004385795065895837,0.0004759578671007558,0.0010812025579092044,0.0010778675431918014,0.0010807522330018359,0.0010827891776257835
rcp26,cas,-,-,-,-,0.0013929956984737874,0.0013342463663416368,0.0013109673873513315,0.001324815708388877
rcp26,mil,-,-,-,-,0.00022198093937701475,0.00017748660625234146,0.00019490955948948374,0.00020947221555499542
rcp26,nut,-,-,-,-,0.003209573560722538,0.003200444967547221,0.0033104245968023,0.0031813761977598234
rcp26,pea,-,-,-,-,0.0018129518846047212,0.0018653888609510782,0.001885842127687811,0.0018772087597189444
rcp26,rap,-,-,-,-,0.0021150744933822953,0.0021623266907680144,0.0022129201890158513,0.0021310325597530483
rcp26,sgb,-,-,-,-,0.001655222313076661,0.0016587679137402636,0.0016774678139253076,0.0016489705963070517
rcp26,sug,-,-,-,-,5.268986664088647e-05,4.6728290855686626e-05,6.188996455694926e-05,5.705962791333279e-05
rcp26,sun,-,-,-,-,0.0033553174204215912,0.00356928491072105,0.003671819233063402,0.0037249073016533633
rcp60,mai,0.00039334813875494836,0.0003938579225266595,0.0003840903011543841,0.0003638064237985047,-,-,-,-
rcp60,soy,0.0013038582523062494,0.0012870282046742022,0.001279181399105828,0.001276740520332026,-,-,-,-
rcp60,ric,0.0011263490772262204,0.0011528045781259556,0.001143455137425378,0.0011177087532425257,-,-,-,-
rcp60,whe,0.00041850715895192935,0.00042182645757587973,0.00038513718036498355,0.00039355088106728537,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
