,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005763672667937332,0.0005940736973770579,0.0005658217543056752,0.0005893695300350009,-4.689772318071932e-06,-3.2809015926383033e-06,-8.909562900337169e-06,-8.151921062483105e-06
rcp26,soy,0.0012627895851217864,0.0013184299852562601,0.0012578408564004587,0.001296857708272943,0.0010950836598743476,0.0012822246078198604,0.001157020098779213,0.0011971195781430343
rcp26,ric,0.0012662611434216227,0.0013247917202198626,0.001258054149408234,0.001302600986861443,0.0011566516930769282,0.0013145087130635317,0.0012083660984659932,0.0012621971661103495
rcp26,whe,0.0007335843489885639,0.0007235052660166208,0.0007490856463438838,0.0007201331899723579,0.0007321296537910543,0.0007284481086441166,0.000734556888954946,0.0007473773093763166
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,4.000354364307565e-07,1.837913259110552e-05,-2.5096433240841838e-06,5.111435793572378e-06
rcp26,nut,-,-,-,-,0.001293019814329901,0.0015473716391983512,0.0013728764361153403,0.0013989399980513647
rcp26,pea,-,-,-,-,0.0010576777169393958,0.001242531788178968,0.001136201224013639,0.0011646269800293398
rcp26,rap,-,-,-,-,0.0010732285257718745,0.0012266261797590644,0.001134022822456803,0.0011777258973789714
rcp26,sgb,-,-,-,-,0.0010149134188728464,0.0011640265279286004,0.0010797624283659499,0.0011163834995261855
rcp26,sug,-,-,-,-,-1.1492904866726001e-05,3.222429234400597e-06,-6.4778937448682465e-06,-4.035122601138359e-06
rcp26,sun,-,-,-,-,0.0011241953362871747,0.0013199944016667703,0.0011955308598622784,0.0012214843087610392
rcp60,mai,0.00046633375590729247,0.00048039656449539635,0.0004616601847510173,0.0004692930643301036,-,-,-,-
rcp60,soy,0.0011352287649614543,0.001189024686656245,0.001127918890484025,0.0011459967818518617,-,-,-,-
rcp60,ric,0.0011380756425578295,0.0011953677540360549,0.0011319283607967552,0.0011504006264969825,-,-,-,-
rcp60,whe,0.0006132592256479231,0.0006482481445929616,0.000686728311919173,0.0006274030843466692,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
