,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.00023454488006613772,0.0002467460908189465,0.00022873773118818757,0.00024027834869766327,-3.831364691303951e-06,2.3203383989486733e-06,-2.017362832948445e-06,3.873587581836841e-06
rcp26,soy,0.001184401593177473,0.0011914573800696137,0.0011851630742253053,0.0011892252606189337,0.0017914160126481606,0.0019328483679326252,0.0018953607114241182,0.0018742785032122464
rcp26,ric,0.0007068713519475283,0.0007379254837618077,0.000699773313618065,0.0007121894056847854,0.001523607065810009,0.0015918571429720688,0.0015673867600073637,0.0015569434460195421
rcp26,whe,0.0005124252746690982,0.0005452775226970702,0.000541542290058568,0.0005293341052351251,0.001451114137600605,0.0015091275011969076,0.0015000192436989716,0.0014838971933345162
rcp26,cas,-,-,-,-,0.0015446687498283575,0.0016256360637092802,0.0015852145957329746,0.0015813431970969935
rcp26,mil,-,-,-,-,1.1472730936116546e-05,1.8647819019161786e-05,9.65378881675225e-06,2.0072317822329293e-05
rcp26,nut,-,-,-,-,0.001641250081949065,0.0017384461660964893,0.001720263707919523,0.0016944614134788202
rcp26,pea,-,-,-,-,0.001503835772882248,0.0015861449552073456,0.00153136605847315,0.0015631306165170707
rcp26,rap,-,-,-,-,0.0015218451954315331,0.0015983965107190005,0.0015787710871766679,0.0015619862061238624
rcp26,sgb,-,-,-,-,0.0014495588089687714,0.0015166545893286856,0.0014949404533459762,0.0014879215130836352
rcp26,sug,-,-,-,-,3.3243647997724333e-06,6.19668826742681e-06,2.1651885486758213e-06,2.235304245288517e-06
rcp26,sun,-,-,-,-,0.0015796104206588423,0.0016465967160182512,0.0016259832136292245,0.0016086576061277462
rcp60,mai,0.00019335769065974718,0.00021328105147600925,0.00018784720795460524,0.00019057261722960731,-,-,-,-
rcp60,soy,0.001050628524085602,0.00106831876594369,0.0010543605247604823,0.0010564651812716734,-,-,-,-
rcp60,ric,0.0006234713650172331,0.0006886529711090679,0.0006321597847150427,0.0006170525782720314,-,-,-,-
rcp60,whe,0.00042979008665923257,0.0004649935232399619,0.0004547074484301552,0.0004410957074999208,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
