,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005450447376935893,0.0005590535372806591,0.0005442255981478809,0.0005518269408614244,9.170380218385215e-05,6.624664339966275e-05,7.360462644545392e-05,8.567869725583875e-05
rcp26,soy,0.0011900740773904347,0.0012209041669456275,0.0011881978661855421,0.0012036194082257433,0.0010579425898674256,0.0011223351668827293,0.0010370386812631096,0.001091252923155107
rcp26,ric,0.0011773447267509327,0.001196405305070977,0.001171636416945487,0.0011872600380050638,0.001220264518728817,0.001438827747903072,0.001276844538386108,0.0013609029998099455
rcp26,whe,0.0006499369933244404,0.0006764875350233583,0.0006543066118231855,0.0006680176236292169,0.0009820382950593033,0.0010047730165424387,0.0010303445688573073,0.0010308028560551512
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,5.621999437590774e-06,1.2539186935606412e-05,4.986466527142526e-06,8.241660317298242e-06
rcp26,nut,-,-,-,-,,,,
rcp26,pea,-,-,-,-,0.0008716071923585715,0.0009445823589817658,0.0009085101098692086,0.0009354621879452367
rcp26,rap,-,-,-,-,0.0010309533827954419,0.001027085990928632,0.0010882350694242475,0.001075942293703426
rcp26,sgb,-,-,-,-,0.0009927404342055693,0.0010479739007982056,0.0010458848860476727,0.0010435170581603384
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0012806481589654583,0.0013246772138062737,0.0012065983304217567,0.0012810516340285047
rcp60,mai,0.00043797354026217276,0.00044727989210337335,0.00043721971671559895,0.0004427667024059447,-,-,-,-
rcp60,soy,0.0010575228604127282,0.00108043261837444,0.0010567048376651069,0.0010680660803133325,-,-,-,-
rcp60,ric,0.0010473691361836072,0.001060007841077456,0.0010433940164694178,0.0010559542515689111,-,-,-,-
rcp60,whe,0.0005505424554659103,0.0005694321889155613,0.0005542467886933232,0.0005623298778367003,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
