,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0006114593323265978,0.0006149702664856549,0.0006061252464199512,0.0006170600268216544,2.375402282297138e-05,2.6559210538545515e-05,2.9240570714969927e-05,3.496349195502944e-05
rcp26,soy,0.0013027645261300658,0.0013123860073075662,0.0012925911986616492,0.0013172140578721911,0.0014625834096906895,0.0015078361816517735,0.0014286220526949394,0.001506289661772289
rcp26,ric,0.0013114736308001919,0.0013236770885813405,0.0013033058274411426,0.0013303193683625487,0.0013418694004707363,0.001388997541336545,0.001331550787303267,0.001391593441392758
rcp26,whe,0.0008939617606268028,0.0008908446246472665,0.0008897908066639365,0.000896658633044442,0.0009156895352929039,0.000914959546078686,0.0009001533632888548,0.0009090153638350687
rcp26,cas,-,-,-,-,0.0014002447003111393,0.0014454695500588407,0.00140473751652676,0.0014417960121585168
rcp26,mil,-,-,-,-,2.4858270408538244e-05,3.257358922255288e-05,2.2034108731727272e-05,3.337468511532152e-05
rcp26,nut,-,-,-,-,0.0016063907804999148,0.0017098117738302324,0.0016082282177758281,0.0017016516529226886
rcp26,pea,-,-,-,-,0.0012388361272773524,0.0013036845507654062,0.0012586437999248677,0.001299491769383896
rcp26,rap,-,-,-,-,0.0009089012638918823,0.0008942233019581624,0.0008862599723277074,0.0009023886522177234
rcp26,sgb,-,-,-,-,0.0011999464253520922,0.0012726865189801248,0.0012409800445901502,0.0012590371781710488
rcp26,sug,-,-,-,-,9.19229426281505e-06,1.8144027474547015e-05,1.0677820124292274e-05,1.5183959359980861e-05
rcp26,sun,-,-,-,-,0.0015519616188579435,0.00161470474312515,0.0015145253374842307,0.0016106835595343912
rcp60,mai,0.0004924077837309214,0.0004990234885310375,0.0004904712528907691,0.0004939194453218654,-,-,-,-
rcp60,soy,0.0011648797008727025,0.0011827461567637883,0.0011604632516421275,0.0011689446051011516,-,-,-,-
rcp60,ric,0.0011738407058092272,0.001193433180871515,0.001170926929456589,0.001181127149034001,-,-,-,-
rcp60,whe,0.0007688127939022691,0.0007668486789922671,0.0007669084824777194,0.0007683338952196851,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
