,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005378421080383633,0.0005460550434419411,0.0005123772863393159,0.0005441315831312519,3.6599836159877706e-05,3.640189466757847e-05,3.070550806433242e-05,4.4068213155167425e-05
rcp26,soy,0.0013364301502743106,0.001356753500177058,0.001320089619989813,0.001339397763057105,0.001379057462400263,0.0014265258250636152,0.0013312073667774516,0.0014361849098021376
rcp26,ric,0.001236547752470503,0.0012423791245748353,0.001176907079874716,0.0012427475955200343,0.0013131047619008292,0.0013691809320566732,0.001311484724834751,0.001378316360512599
rcp26,whe,0.000511184739525715,0.0005064524535198802,0.00048740959219381315,0.0004722048378199611,0.0007293280332170715,0.0007503813732821106,0.0007404926166377322,0.0007423666905803881
rcp26,cas,-,-,-,-,0.0010602343389155568,0.001173449825479718,0.0010701903225290858,0.0010900671793290912
rcp26,mil,-,-,-,-,5.8561600248468054e-05,7.929264260451636e-05,5.063695940160671e-05,7.872558644016187e-05
rcp26,nut,-,-,-,-,0.0017472784083533345,0.0019241553726961488,0.0017197217173675263,0.0018294956110722058
rcp26,pea,-,-,-,-,0.0011724668245912766,0.001298395258092013,0.0012054661625337077,0.0012517498449981204
rcp26,rap,-,-,-,-,0.001184809056277373,0.001293238175210654,0.0012105298322591079,0.0012491006507107626
rcp26,sgb,-,-,-,-,0.0012020242874697083,0.0012967551379864013,0.0012179055051038943,0.0012721281467583685
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0015064498323754509,0.0015978403253501458,0.0014879413945405686,0.0015746533354911144
rcp60,mai,0.00043952117260369437,0.0004429416556018937,0.000426229356902114,0.00043987725453742426,-,-,-,-
rcp60,soy,0.0011964618184648712,0.0012154103830855825,0.001188924957894738,0.0011994948343815102,-,-,-,-
rcp60,ric,0.0011018036970349536,0.001101915025569143,0.0010687803944865223,0.0011009092994775363,-,-,-,-
rcp60,whe,0.00045348573926477185,0.00043073381690823505,0.00043278220783798076,0.00040056749491018624,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
