,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005542617563313491,0.0005664332337555496,0.0005446300524288891,0.00055792051590176,5.823960581491917e-06,3.5165561285838492e-06,3.973564812451344e-06,4.1414222228396055e-06
rcp26,soy,0.001230468952680486,0.001258482889913656,0.0012184434948870268,0.0012368001536701852,0.0010987174023239855,0.0011957045258322858,0.001115631763361966,0.001153468652769503
rcp26,ric,0.0012099530991495936,0.0012444519207757874,0.0012006672293310696,0.0012185572312192461,0.0011649204354971096,0.0012493602564745598,0.00120579978313768,0.0012348241655659382
rcp26,whe,0.0004823776788649766,0.00045098145918670833,0.0004579107754985558,0.000429936925383193,0.0007263385543851708,0.0007630962015115753,0.0007510764576226048,0.0007660406562562131
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,5.577858044526614e-06,8.609995609565814e-06,1.2174698380792918e-05,9.71165582116506e-06
rcp26,nut,-,-,-,-,0.001510021569060403,0.0017169272473449599,0.0017144338592871788,0.0017148103644772715
rcp26,pea,-,-,-,-,0.0009816288220605095,0.0011139822254442105,0.0010349807953822252,0.0010658017023584508
rcp26,rap,-,-,-,-,0.0006970293819624378,0.000728107922273801,0.0007139539667869529,0.0007308363654335666
rcp26,sgb,-,-,-,-,0.000974870699118945,0.0010782647640912486,0.0010160746116619583,0.0010517666683678858
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0012728454447045756,0.0013561479925696099,0.0012739535013770757,0.0013319244219738814
rcp60,mai,0.0004527496835748248,0.00045781330424011867,0.0004454858534484219,0.00044651791769993287,-,-,-,-
rcp60,soy,0.0011133425258787963,0.0011238911491897353,0.0010995310640795574,0.0010986248373842846,-,-,-,-
rcp60,ric,0.0011020270739490086,0.0011194279636873728,0.0010839338269548978,0.0010826674630794743,-,-,-,-
rcp60,whe,0.0003751587798685694,0.000389150815947565,0.0004093915338680721,0.00036339108381032274,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
