,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005579276592900294,0.0006097105118761011,0.0005459770146882195,0.0005846782304922548,-2.7893379764114605e-06,-1.6296464192137718e-06,-2.9751251136023324e-06,-9.955929803118843e-06
rcp26,soy,0.0012633176967488027,0.0013734457288995152,0.0012648639475915627,0.0013260923101418888,0.001104023380954083,0.0013138576660079518,0.001168531115716801,0.0012389939136174886
rcp26,ric,0.001256286074732397,0.001385701899885438,0.001253259917467462,0.001328300329230486,0.0010884324259328258,0.0012718613588315727,0.001151872599854089,0.0012272043983875122
rcp26,whe,0.0008572795878200228,0.0008017923525323991,0.0008259336961565227,0.0008443413505652454,0.0007476684744927302,0.000736557532815655,0.0007436654647257854,0.0007781226379103496
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,5.274593224799168e-06,-3.952803488973461e-06,2.4848428550718445e-06,-5.865770402229139e-07
rcp26,nut,-,-,-,-,0.0011998109293803075,0.0015384434560180502,0.0012908535690330893,0.0014020167043900214
rcp26,pea,-,-,-,-,0.0010396787711202352,0.001272478085092511,0.0011271382554317345,0.0012029960688049368
rcp26,rap,-,-,-,-,0.0010101015761541448,0.001195521251518995,0.0010851187419031356,0.0011458707970039997
rcp26,sgb,-,-,-,-,0.0010057162766103865,0.0011975529395664606,0.0010838565021036588,0.0011553418705383975
rcp26,sug,-,-,-,-,3.1771255062294566e-05,1.6596270218885298e-05,-9.456563133856773e-06,-1.4184749990186846e-06
rcp26,sun,-,-,-,-,0.0011137668836844051,0.0013315773977981282,0.0011826064171193455,0.0012459743693542169
rcp60,mai,0.0004522830342098059,0.0004991611843321971,0.0004463489331279189,0.0004603443188898044,-,-,-,-
rcp60,soy,0.0011366998600771962,0.0012412956346210347,0.0011368962740341817,0.001163571603650912,-,-,-,-
rcp60,ric,0.0011346416257149224,0.0012688744506547832,0.0011277486800398816,0.0011591708099031408,-,-,-,-
rcp60,whe,0.0007202277554336569,0.0007246607513731149,0.0007442538045246825,0.0007263343583905193,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
