,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.00036103136685615986,0.00035279515143663134,0.0003533144199356778,0.00032855029304778465,-2.228904264438018e-05,1.4395625099231668e-06,-5.1863190636985115e-05,3.8617823314083796e-06
rcp26,soy,0.0012422819061598347,0.0012106992131255836,0.0012121361914349713,0.001207921946416841,0.0019130212601145137,0.001846825823582685,0.0018836951948236586,0.0018159301290213703
rcp26,ric,0.0011387137124530713,0.0011120710814579492,0.0011003338912087648,0.0010832965675789679,0.0019078087300096569,0.0018573323147038122,0.001876840670596874,0.0018090409800458477
rcp26,whe,0.000701754201740954,0.0006889709278784249,0.0006902734226312647,0.0006853315106019786,0.0015278318973433688,0.001536493829469595,0.001555258123375291,0.0015307042141857311
rcp26,cas,-,-,-,-,0.0020188536877616095,0.002075728161195016,0.00203707129259242,0.00198690454418233
rcp26,mil,-,-,-,-,4.805778644982966e-06,2.4499787501516693e-06,-7.240759567291227e-06,5.799825296371741e-06
rcp26,nut,-,-,-,-,0.0013866601612753317,0.0013797135756635505,0.001399684408328245,0.0013562413013106824
rcp26,pea,-,-,-,-,0.0010621347661794048,0.001079780698250509,0.0010874587441481814,0.0010699988343462379
rcp26,rap,-,-,-,-,0.001186949234775534,0.0012043584205120492,0.0012041544865544116,0.0011968317021465256
rcp26,sgb,-,-,-,-,0.0015180690427386305,0.0015492963391300514,0.0015389599591213799,0.0015309953545897905
rcp26,sug,-,-,-,-,-2.744719627270282e-06,7.156850720443855e-07,2.62658782183297e-06,3.5949173115043123e-07
rcp26,sun,-,-,-,-,0.0014638260862388692,0.0014566234325983276,0.001470172623739963,0.0014454708205197022
rcp60,mai,0.0002926773259625386,0.0002857691444640669,0.0002986193913188087,0.00026386048995398617,-,-,-,-
rcp60,soy,0.0011018706948783153,0.0010740616568437485,0.0010843698669066439,0.0010715994115091635,-,-,-,-
rcp60,ric,0.001014498141500975,0.0009808297866137905,0.0010071496357658529,0.0009606019411540881,-,-,-,-
rcp60,whe,0.0005825521936564802,0.000575164514341598,0.0005862807131090727,0.0005686305090315354,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
