,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005076192207412201,0.0005256049357626564,0.000494551220181892,0.0005353588597149644,4.089789784715735e-05,4.367760976798721e-05,3.63687191698614e-05,5.396171051909438e-05
rcp26,soy,0.0012739899676385456,0.00130566647326865,0.0012748254540843702,0.0013051918781470024,0.001406993356576039,0.0015656254824646663,0.0014426282418812943,0.0015344127560439178
rcp26,ric,0.001199461224288327,0.0012362218057430526,0.0011803892535671185,0.0012575599678134406,0.0013666370796299218,0.0015305193350655594,0.001430978550552239,0.001502529559192506
rcp26,whe,0.0004925475494069314,0.00044515243724276775,0.000489382623741397,0.00046312667845493477,0.0008904900915656659,0.000946666899267053,0.0008997407147123381,0.0009419163906335739
rcp26,cas,-,-,-,-,0.0015396878702099667,0.0017392153350828232,0.001603195562150381,0.001668138903504011
rcp26,mil,-,-,-,-,-1.3151996254431028e-05,-1.0535507770024822e-05,-9.771890917049251e-06,-9.815118514480539e-06
rcp26,nut,-,-,-,-,0.0017854555868440597,0.0021089384314503085,0.0019164639634151326,0.0020317739315433986
rcp26,pea,-,-,-,-,0.0012264774009053505,0.0013573564480828864,0.001265113626228476,0.001328413045758688
rcp26,rap,-,-,-,-,0.001065237924454671,0.00115195671695181,0.001092076996470191,0.0011344702430101613
rcp26,sgb,-,-,-,-,0.0011758451881961833,0.00129450313397066,0.0012175222984421943,0.0012786663098824376
rcp26,sug,-,-,-,-,-1.0440140221086258e-05,-8.774372594571574e-06,-1.7998373572777177e-05,-1.2493954600613308e-05
rcp26,sun,-,-,-,-,0.001477749729295769,0.0016467348911869304,0.0015141542933005932,0.0016031626408944185
rcp60,mai,0.00041515566190852127,0.00043159647108709475,0.00041347564705129726,0.0004329474222433903,-,-,-,-
rcp60,soy,0.0011445530599896855,0.0011697032621024366,0.0011471599853095568,0.0011677227368271012,-,-,-,-
rcp60,ric,0.0010761310301450847,0.0011150951265995618,0.0010729366262188836,0.0011227540636720716,-,-,-,-
rcp60,whe,0.00038237250210452833,0.00039503091520084137,0.00043854991786680463,0.0004028799130015044,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
