,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005143893636391855,0.0005153681170036225,0.0005169790923467096,0.0005171464872232282,3.757517612928916e-06,4.3866024232587555e-06,5.578627286929905e-06,3.852223949604896e-06
rcp26,soy,0.0011551470446678578,0.0011613307454092544,0.0011570002117709801,0.001164049909824668,0.001338267313543617,0.0013954647272301193,0.0013369087237766314,0.0014057576825435595
rcp26,ric,0.0011114485109505435,0.0011335934776491143,0.0011273811713923968,0.0011288592668356081,0.0013982716887940311,0.0015110196856389754,0.0014312718767712815,0.0014930052498895222
rcp26,whe,0.0006381640687770755,0.0006529782544856029,0.0006108157862795556,0.0006147640612686195,0.0007326515841543247,0.0007505365392811785,0.0007470698765759373,0.0007514421845251328
rcp26,cas,-,-,-,-,0.0016071931379378936,0.0016803308092231213,0.0016651162754488119,0.0016891981711894485
rcp26,mil,-,-,-,-,1.1938628783736653e-05,1.76227919475272e-05,1.2189644474236998e-05,3.08976282826402e-05
rcp26,nut,-,-,-,-,0.0015987716278899069,0.0017232302775975134,0.0016126709079995359,0.0017156561325401385
rcp26,pea,-,-,-,-,0.0012936518721497904,0.001396605750848381,0.001318491706195978,0.001387671034318719
rcp26,rap,-,-,-,-,0.0011902541039109495,0.001265008898671431,0.0012137118420097025,0.0012579558375327572
rcp26,sgb,-,-,-,-,0.0012302461082912472,0.0013240610045902892,0.0012659818909684175,0.0013140254211812955
rcp26,sug,-,-,-,-,2.592632208849503e-05,5.046883021205654e-05,5.4103025154786023e-05,5.9678793934364066e-05
rcp26,sun,-,-,-,-,0.0013457759403156687,0.0014236196531297797,0.0013514230078238874,0.0014311382804490173
rcp60,mai,0.00041337646543250343,0.0004176127227667877,0.00041860612843204947,0.00041150561635931173,-,-,-,-
rcp60,soy,0.001026002719680991,0.0010327799759853214,0.0010302654559666085,0.0010313204326715488,-,-,-,-
rcp60,ric,0.000990753247719005,0.0010088885792510136,0.0010037111064434031,0.0009938742234871655,-,-,-,-
rcp60,whe,0.0005594142302572852,0.0005708475801957797,0.0005564634632380843,0.0005465433419550498,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
