,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005158991759214803,0.0005252943290820818,0.0005091651912979343,0.0005334883490792684,5.755132352171779e-07,-2.3497113240678685e-07,-2.579825977622412e-07,-1.185071608433981e-06
rcp26,soy,0.0011739467267262251,0.0011888173730101356,0.0011765323361559682,0.0011932881621805587,0.0013120242434320388,0.0014007842124426917,0.0013101507956423577,0.0013700062765557809
rcp26,ric,0.0011417215562854598,0.001151558744337115,0.0011312226973881918,0.0011732468870711188,0.0013699226955783256,0.0015131440082139307,0.0013928230322171292,0.0014548359724369342
rcp26,whe,0.0008958900772999378,0.0009059752210826861,0.0009322751287619725,0.0009304891824132933,0.0006757111788991323,0.0006858551966411505,0.0006890218727507541,0.0006958160739115897
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,3.347388982929951e-05,4.1509843296257645e-05,1.7349777265821407e-05,3.383720731604295e-05
rcp26,nut,-,-,-,-,0.0014946636425047753,0.0016713126344518937,0.0014833845264841405,0.0015858943519167232
rcp26,pea,-,-,-,-,0.0012364228980251686,0.0013471514052788417,0.0012705181931314772,0.0013159311925486376
rcp26,rap,-,-,-,-,0.0012470137297693213,0.0013497748560523742,0.0012855425827925442,0.0013256433005184838
rcp26,sgb,-,-,-,-,0.001139394137754071,0.0012150666954351967,0.001171493249324558,0.0012005198939035449
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0010651346561751714,0.00115875213109193,0.0010881182254489188,0.0011493746072698452
rcp60,mai,0.0004168785951557233,0.0004195782097936563,0.00041447654805494067,0.00042450639144976654,-,-,-,-
rcp60,soy,0.0010439714501818082,0.0010513032568250293,0.0010463273207418496,0.0010565241257910307,-,-,-,-
rcp60,ric,0.0010090522825734287,0.0010162110284760802,0.001007162460034666,0.0010264912659468076,-,-,-,-
rcp60,whe,0.000805702304322581,0.0007768420498740032,0.0008377491689012832,0.0008005468425418292,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
