,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0004664969304703564,0.0004632027572226649,0.00046325616826160923,0.0004674928747235296,-4.437992527052739e-05,-2.370985713213963e-05,-3.8904323912634025e-05,-1.7405376540674614e-05
rcp26,soy,0.0012832682138388526,0.0012874778826533965,0.0013008029033760365,0.001300052602015689,0.0016070251140529264,0.0016464509460268311,0.0017359992520478737,0.0016617120886520944
rcp26,ric,0.0010825839264401386,0.0010769790203958222,0.0010861523119764455,0.001085147752079585,0.001548421552945146,0.0016002266167463738,0.0016642833341254507,0.0015992708599341576
rcp26,whe,0.0006743714687402215,0.0006828456899981277,0.0006668317219554715,0.0006820137726079722,0.000997124944528988,0.0010166623073155135,0.0010081995416688755,0.0010061480675377197
rcp26,cas,-,-,-,-,0.0016062814492139189,0.0016547090959709385,0.001679771019501901,0.0016471939777989262
rcp26,mil,-,-,-,-,-4.278258472268095e-05,-4.360198032479982e-05,-5.026186124894514e-05,-4.5236923096923795e-05
rcp26,nut,-,-,-,-,0.001629628402977701,0.0016876450234837082,0.0017869781064528303,0.0016841819133881371
rcp26,pea,-,-,-,-,0.0014075762490201175,0.0014744361933032954,0.0015232776893627483,0.0014647521388204481
rcp26,rap,-,-,-,-,0.0014547036981762415,0.001497358887436436,0.0015518224627043245,0.0014974804379495753
rcp26,sgb,-,-,-,-,0.0011744332425882517,0.0012064559132807797,0.0012079351137985524,0.0012007388187079443
rcp26,sug,-,-,-,-,6.55981500904762e-05,7.870495075794766e-05,9.005876541381882e-05,9.816552326501344e-05
rcp26,sun,-,-,-,-,0.0016715651967361403,0.0017104320566874755,0.0018164229860172234,0.0017235960057819378
rcp60,mai,0.00037830119357426593,0.000379477434520303,0.00037878726775820743,0.00037663256213510003,-,-,-,-
rcp60,soy,0.0011503230857441134,0.0011615114773039787,0.0011671006260395077,0.0011656480948445454,-,-,-,-
rcp60,ric,0.0009725314176322572,0.0009801124974360986,0.000984038995710407,0.000969719948101078,-,-,-,-
rcp60,whe,0.0005831903128268504,0.0006052019460813868,0.0005897152348311733,0.000588176163042252,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
