,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005461483529744906,0.0005760240101654473,0.0005451519871556397,0.0005632670457136152,5.978445691947608e-07,6.635433877625617e-07,1.0201512128324148e-07,-6.85783420344115e-07
rcp26,soy,0.0011953676771097618,0.0012614470104391356,0.0011935317030952412,0.0012323662005353758,0.0009433923730819508,0.0010618286042184085,0.0009713611201257098,0.0010083409764086364
rcp26,ric,0.001173539501541176,0.0012149751769910703,0.0011689501309319454,0.001205721572287988,0.0009118739072900476,0.0010381569145601535,0.0009631912340956968,0.0010093146680879284
rcp26,whe,0.0008632149553683112,0.0008829699693475554,0.0008335030388721548,0.0008462964836763075,0.0006902593292021468,0.000711213989099041,0.0006827729704580228,0.0007249822349708625
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,1.6151325303278175e-06,5.5166027306412965e-06,2.6235556512055884e-06,4.9633311837250345e-06
rcp26,nut,-,-,-,-,,,,
rcp26,pea,-,-,-,-,0.0008565096094613393,0.000990840538139315,0.000924943572167357,0.0009615121540485294
rcp26,rap,-,-,-,-,0.0007032615827187966,0.0007191835369511769,0.0006964147722441593,0.0007312893969948321
rcp26,sgb,-,-,-,-,0.0008597367288117285,0.0009878029082544914,0.0009267198893730293,0.0009602612873254664
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0009702427186841674,0.0010958014927980294,0.0009872673441277992,0.0010237569100286755
rcp60,mai,0.00044151132236412705,0.00046701463261950444,0.00043994562340810776,0.000447596806510703,-,-,-,-
rcp60,soy,0.0010699630288402756,0.0011322581948695334,0.0010670770598907094,0.0010845431271578562,-,-,-,-
rcp60,ric,0.001039474651386845,0.0010889444678632376,0.0010421728711759073,0.0010582478857428124,-,-,-,-
rcp60,whe,0.0006933667686630752,0.0007903266114730062,0.000755870582762958,0.0007460290473899596,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
