,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005353603041016002,0.0005222368942209306,0.0005060937072258277,0.0005285049123339931,1.1056980337456779e-05,1.0381690218459232e-05,1.8966000617050164e-05,1.4280973780052494e-05
rcp26,soy,0.0012376195505381263,0.0012273133403580838,0.0012262509655512985,0.0012307949200202031,0.0011191945966137153,0.001123984446128039,0.0011165946124522931,0.0011739750117081115
rcp26,ric,0.001213250364453883,0.001189667408479562,0.0011723267889773839,0.00121476366662523,0.0013274819231408445,0.0014143272983760163,0.001379127814715679,0.001445309419973835
rcp26,whe,0.0004546210085299436,0.0004391340802635047,0.00044053934473555785,0.00043101515550815933,0.0007204934155676855,0.0007404354168464052,0.0007349736179972821,0.0007282937602463575
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,-1.0384475592704105e-05,-6.958722100738685e-06,-8.916607191282111e-06,-5.9889734867352326e-06
rcp26,nut,-,-,-,-,0.0013829447172453314,0.0014800670990646975,0.0014328110929878628,0.0014800761003231897
rcp26,pea,-,-,-,-,0.00112506825868711,0.0011769899279517005,0.001137476181141537,0.001175496626268198
rcp26,rap,-,-,-,-,0.0008273239499597727,0.0008437520246986312,0.0008303172987814665,0.0008399346633686408
rcp26,sgb,-,-,-,-,0.0010142181090467498,0.00105200329035807,0.00102755359540265,0.0010604307765267156
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0011362309309396377,0.0011749467720389168,0.0011561406999897163,0.0011936805683189508
rcp60,mai,0.00043055405090033206,0.0004197426421625241,0.0004167328438706991,0.000420032443873836,-,-,-,-
rcp60,soy,0.0010970608190241757,0.0010906189493744725,0.0010953125013089457,0.0010940187008601251,-,-,-,-
rcp60,ric,0.0011027741183505697,0.00105659683859794,0.0010498324893896303,0.001073421018500845,-,-,-,-
rcp60,whe,0.0003774735466439017,0.0003652618278619479,0.00038225359072321946,0.000363110873772038,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
