,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005076467319441891,0.000526498507504536,0.0004985912666873811,0.0005296608296748061,6.357807727719584e-05,6.277548292497412e-05,7.673541457898403e-05,9.592897708373618e-05
rcp26,soy,0.0012051226715673387,0.0012301451519619799,0.0012038379461706,0.0012416906227028495,0.001158844235828798,0.0012092563092401518,0.0011434573518695956,0.0012590393015136647
rcp26,ric,0.0011878304986777937,0.0012134039507712576,0.001185606854726561,0.001226753133106734,0.001291086494788138,0.0014183538219877361,0.0013837897661178507,0.0014850290208596128
rcp26,whe,0.0006463724529664055,0.0006742159602662581,0.0006461932204380385,0.0006739620505752604,0.0010438733823769147,0.0010930654828414284,0.0011691289667009176,0.001166954873809422
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,3.455104005393928e-05,5.0868147031391885e-05,4.540077625942746e-05,8.359558898854189e-05
rcp26,nut,-,-,-,-,0.0014819437806510329,0.001530989260801232,0.001517442074503512,0.0015347219256343907
rcp26,pea,-,-,-,-,0.000988945802429914,0.001093082436579464,0.0010648230878455556,0.00112949322557014
rcp26,rap,-,-,-,-,0.001058923485866992,0.00114590755956551,0.0011903653605776859,0.001209076680582668
rcp26,sgb,-,-,-,-,0.0009955131348861714,0.0011010261942064584,0.0010827713660281145,0.001123649322567284
rcp26,sug,-,-,-,-,-1.8060536932894915e-05,-3.0065246157340985e-05,-2.5241179350929776e-05,-1.2250642536174628e-05
rcp26,sun,-,-,-,-,0.0013790314381166872,0.0014934780659366829,0.0014140719845293934,0.001534766118100504
rcp60,mai,0.0004047266796096905,0.0004278031053205216,0.0004044053053306142,0.00042607825060553506,-,-,-,-
rcp60,soy,0.0010642138843893472,0.0010974623572942263,0.0010707190711082728,0.001097574182518301,-,-,-,-
rcp60,ric,0.0010504928394743066,0.0010826970479720884,0.0010576341016992077,0.0010848523214737203,-,-,-,-
rcp60,whe,0.0005438861486639259,0.0005720917165933803,0.0005525859483339121,0.0005670893690489487,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
