,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.0005506125143118932,0.0005783490999018605,0.0005438913497985411,0.0005657849635337395,1.059393649279906e-07,6.199036408271152e-08,-4.231486596261311e-08,-6.705280854220995e-07
rcp26,soy,0.0012238724730200762,0.0012959235716465114,0.0012157011391781855,0.001265685292534359,0.0009932495763175727,0.0011469150896799127,0.0010220634604987673,0.001074356867427445
rcp26,ric,0.001199391709043747,0.0012693819336489329,0.0011975919478994681,0.001244240160602511,0.0009337471353971575,0.0010517426056135238,0.0009722778505354643,0.001011951368650739
rcp26,whe,0.0010432978315166217,0.0010226345081602163,0.0010005373305634147,0.0010100677246159873,0.0007338728535512568,0.0007729140960896523,0.0007379537605886344,0.0007788407840317883
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,1.1564897838937756e-06,3.4570604196553426e-06,7.86421904898155e-07,1.736948010478214e-06
rcp26,nut,-,-,-,-,,,,
rcp26,pea,-,-,-,-,0.0008263763626610484,0.0009824864120768087,0.0008859408314010161,0.0009395534903559417
rcp26,rap,-,-,-,-,0.0008565228197135458,0.0009907131505530297,0.0009067044893421825,0.0009574724087387926
rcp26,sgb,-,-,-,-,0.0008674842173651183,0.001021082754199134,0.0009255713880146063,0.0009824543378014507
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0010608713973373357,0.0012008795696855593,0.0010512276578511302,0.001112952274820566
rcp60,mai,0.0004448992121276041,0.0004695496189513076,0.0004405006645821806,0.00044705799591579514,-,-,-,-
rcp60,soy,0.0010943098785675207,0.001162674430529245,0.0010888196225611413,0.0011075645761048022,-,-,-,-
rcp60,ric,0.0010702607399581663,0.0011367012892198256,0.0010678307025324824,0.0010879190528459502,-,-,-,-
rcp60,whe,0.0009210333843849131,0.0009091093956947114,0.0009088043854120577,0.0008883913854376979,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
