,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.00043271487726151024,0.00042417524485823194,0.0004397169974068872,0.0004308457223538212,6.339925461382824e-06,7.894483616491205e-06,7.660879184473956e-06,7.287989995032372e-06
rcp26,soy,0.0011770555162372268,0.001162585986447982,0.0011574493248659278,0.001170462426158229,0.0016159073357701666,0.0016578554125818727,0.0015995561685405344,0.0016305099323732507
rcp26,ric,0.0010321438141597697,0.0010068257632077806,0.0010108489331566676,0.0010374994076065966,0.0012772710936864414,0.0012999529775621684,0.001258127290400323,0.001301185177690136
rcp26,whe,0.0006177779381978639,0.0006232791345344977,0.0006156486672585441,0.0006346280533868861,0.0009656192825801361,0.0009933036954398117,0.0009242371236031651,0.0009808700248640548
rcp26,cas,-,-,-,-,0.001647683533626811,0.001687693099144312,0.0016631676620122097,0.0016949412756476219
rcp26,mil,-,-,-,-,3.3836566280729394e-07,2.862542798809201e-07,1.581359986624566e-06,1.8271769508876961e-06
rcp26,nut,-,-,-,-,0.0017441582948692386,0.0017838377213593107,0.0017318230186812728,0.0017529190074270912
rcp26,pea,-,-,-,-,0.001610099848420956,0.0016561285177084468,0.00160530576557425,0.0016206006645705165
rcp26,rap,-,-,-,-,0.0009982319969915187,0.0010213514416710055,0.0009597664920172276,0.001018213743470538
rcp26,sgb,-,-,-,-,0.0011475015047698713,0.0011602526703118903,0.001119664479470896,0.00115611714678714
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0012127022883088364,0.001263576674162246,0.0011789141730286974,0.0012145663667245542
rcp60,mai,0.00034883073114647486,0.0003442145201398267,0.00034915462807059706,0.00034879318626641545,-,-,-,-
rcp60,soy,0.0010390448496497438,0.0010324528303665447,0.0010276948341871512,0.001039295254144603,-,-,-,-
rcp60,ric,0.0009050186988762206,0.0008903041123490455,0.0008994561280732451,0.0009244266807261581,-,-,-,-
rcp60,whe,0.0005166139659075543,0.0005206973806447956,0.0005146527506813218,0.0005296238198956855,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
