,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.00019861286041660645,0.00021128552893669066,0.00019330009440112674,0.00019461285144854387,5.841045964074597e-05,5.4335956389712394e-05,5.297068521291208e-05,6.242144711879555e-05
rcp26,soy,0.001338340180508513,0.001344344171759098,0.0013438812434585692,0.0013518888399672974,0.0016542013294839712,0.0016897842114448917,0.0017234665980266676,0.0017011341146514914
rcp26,ric,0.0005421752723569935,0.0005902025770110001,0.0005804304324789348,0.0005736300690803607,0.0014714823781437902,0.0015092665014694725,0.0015344426317945887,0.0015068722857460217
rcp26,whe,0.0007161037072823737,0.0007424482115524776,0.0007071137532111365,0.0007115929074493765,0.0007942598432960093,0.0007964645025988461,0.000792674301193095,0.0007928221013264865
rcp26,cas,-,-,-,-,0.001356726934745126,0.0013768950298538934,0.001382571965474042,0.0013550030991297114
rcp26,mil,-,-,-,-,3.823014128300702e-05,3.018362649106186e-05,3.2528673061041164e-05,3.476298871380426e-05
rcp26,nut,-,-,-,-,0.001965304074232965,0.0020979789564131704,0.0021642543339789075,0.002062861771345422
rcp26,pea,-,-,-,-,0.0012383187030853998,0.0012488797394651372,0.0012375773883094912,0.0012324388943501677
rcp26,rap,-,-,-,-,0.0009559274496346266,0.0009885364943571823,0.0009795908493976666,0.0009750610163585456
rcp26,sgb,-,-,-,-,0.0010819648315660306,0.0011189743850387249,0.001112544867700139,0.001095147381155115
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.00181131599588815,0.0018432330449480335,0.0018827504279804736,0.0018465735776995239
rcp60,mai,0.00016182361269735746,0.00018176631907133615,0.00016543402803466706,0.0001574212465230323,-,-,-,-
rcp60,soy,0.0011964364981643437,0.0011983157198961745,0.0011951869912966782,0.0012008167527464894,-,-,-,-
rcp60,ric,0.000496108951191059,0.0005502145560072487,0.0005314797129341923,0.0004977669701871947,-,-,-,-
rcp60,whe,0.0006212367028640363,0.0006603514281452688,0.0006341610736738076,0.000621803475131084,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
