,year,temp
0,2006,287.61584
1,2007,287.73462
2,2008,287.3591
3,2009,287.41006
4,2010,287.72208
5,2011,287.62308
6,2012,287.4731
7,2013,287.64297
8,2014,287.68707
9,2015,288.00064
10,2016,287.6344
11,2017,287.84018
12,2018,287.7093
13,2019,287.5497
14,2020,287.69196
15,2021,287.96524
16,2022,288.037
17,2023,287.85416
18,2024,287.80984
19,2025,288.13882
20,2026,288.06882
21,2027,287.75385
22,2028,287.90375
23,2029,288.0203
24,2030,287.94586
25,2031,287.98328
26,2032,288.06027
27,2033,287.92047
28,2034,288.0298
29,2035,288.15067
30,2036,288.3414
31,2037,288.08786
32,2038,288.17944
33,2039,288.3585
34,2040,288.13824
35,2041,288.35614
36,2042,288.41687
37,2043,288.43292
38,2044,288.54205
39,2045,288.71112
40,2046,288.5287
41,2047,288.46463
42,2048,288.59714
43,2049,288.48813
44,2050,288.6212
45,2051,288.83127
46,2052,288.55008
47,2053,288.75635
48,2054,288.96844
49,2055,288.71848
50,2056,288.69495
51,2057,288.81915
52,2058,288.98215
53,2059,288.76752
54,2060,288.84656
55,2061,288.96362
56,2062,288.99057
57,2063,289.17255
58,2064,289.14615
59,2065,289.04553
60,2066,289.06085
61,2067,289.24878
62,2068,289.15872
63,2069,289.44022
64,2070,289.42987
65,2071,289.21945
66,2072,289.3452
67,2073,289.42752
68,2074,289.36157
69,2075,289.42993
70,2076,289.44006
71,2077,289.4734
72,2078,289.70547
73,2079,289.57803
74,2080,289.70734
75,2081,289.801
76,2082,289.759
77,2083,289.65387
78,2084,289.70593
79,2085,289.80872
80,2086,289.8801
81,2087,289.83475
82,2088,289.79443
83,2089,289.92404
84,2090,289.86923
85,2091,289.9331
86,2092,290.04382
87,2093,290.25143
88,2094,290.137
89,2095,290.24176
90,2096,290.3303
91,2097,290.3483
92,2098,290.33267
93,2099,290.33743
