,year,temp
0,2006,287.60327
1,2007,287.73203
2,2008,287.81592
3,2009,287.85388
4,2010,288.00998
5,2011,288.08118
6,2012,287.84528
7,2013,287.81033
8,2014,288.01556
9,2015,288.15192
10,2016,288.14014
11,2017,288.0784
12,2018,288.1976
13,2019,288.16605
14,2020,288.3261
15,2021,288.39816
16,2022,288.3965
17,2023,288.44086
18,2024,288.46042
19,2025,288.3813
20,2026,288.48297
21,2027,288.56046
22,2028,288.41705
23,2029,288.33878
24,2030,288.47977
25,2031,288.46536
26,2032,288.63098
27,2033,288.78113
28,2034,288.82788
29,2035,288.9195
30,2036,289.01822
31,2037,288.92227
32,2038,289.09726
33,2039,289.11673
34,2040,289.05283
35,2041,289.1364
36,2042,289.1324
37,2043,289.19968
38,2044,289.22842
39,2045,289.21558
40,2046,289.25116
41,2047,289.30643
42,2048,289.49203
43,2049,289.4974
44,2050,289.66907
45,2051,289.65494
46,2052,289.6095
47,2053,289.67224
48,2054,289.75714
49,2055,289.82706
50,2056,289.81204
51,2057,289.9676
52,2058,290.13586
53,2059,290.46252
54,2060,290.40576
55,2061,290.33163
56,2062,290.27258
57,2063,290.2913
58,2064,290.33664
59,2065,290.4396
60,2066,290.51663
61,2067,290.5564
62,2068,290.68442
63,2069,290.6092
64,2070,290.77127
65,2071,290.73608
66,2072,290.804
67,2073,290.93326
68,2074,290.96277
69,2075,290.92868
70,2076,291.10138
71,2077,291.2244
72,2078,291.374
73,2079,291.4295
74,2080,291.57806
75,2081,291.59308
76,2082,291.5508
77,2083,291.44708
78,2084,291.5636
79,2085,291.71292
80,2086,291.79895
81,2087,291.90268
82,2088,291.97763
83,2089,291.96097
84,2090,291.936
85,2091,292.05893
86,2092,292.06104
87,2093,292.0475
88,2094,292.1279
89,2095,292.0977
90,2096,292.21317
91,2097,292.31052
92,2098,292.31906
93,2099,292.4069
