,year,temp
0,2006,287.6295
1,2007,287.60834
2,2008,287.5391
3,2009,287.62607
4,2010,287.6739
5,2011,287.62762
6,2012,287.67532
7,2013,287.89313
8,2014,287.92517
9,2015,287.92444
10,2016,287.93927
11,2017,288.01282
12,2018,288.1182
13,2019,287.97775
14,2020,287.98953
15,2021,288.0403
16,2022,288.09625
17,2023,288.06216
18,2024,288.14124
19,2025,288.29132
20,2026,288.20328
21,2027,288.14587
22,2028,288.1968
23,2029,288.22177
24,2030,288.24182
25,2031,288.22437
26,2032,288.4363
27,2033,288.25327
28,2034,288.3068
29,2035,288.42868
30,2036,288.25693
31,2037,288.3849
32,2038,288.53088
33,2039,288.38406
34,2040,288.39377
35,2041,288.43414
36,2042,288.43842
37,2043,288.6391
38,2044,288.70645
39,2045,288.88406
40,2046,288.92
41,2047,288.81073
42,2048,288.65915
43,2049,288.7666
44,2050,288.77795
45,2051,288.8413
46,2052,288.87265
47,2053,288.95868
48,2054,288.88248
49,2055,288.80795
50,2056,288.98965
51,2057,288.9424
52,2058,289.16702
53,2059,289.01855
54,2060,289.101
55,2061,288.909
56,2062,289.20468
57,2063,289.07675
58,2064,289.12955
59,2065,288.9939
60,2066,289.18475
61,2067,289.0867
62,2068,289.3168
63,2069,289.1893
64,2070,289.41803
65,2071,289.44885
66,2072,289.23032
67,2073,289.347
68,2074,289.26724
69,2075,289.27875
70,2076,289.3146
71,2077,289.37112
72,2078,289.47147
73,2079,289.63043
74,2080,289.7228
75,2081,289.51123
76,2082,289.7258
77,2083,289.6209
78,2084,289.64215
79,2085,289.66412
80,2086,289.68512
81,2087,289.75735
82,2088,289.84048
83,2089,290.0566
84,2090,290.1197
85,2091,290.22385
86,2092,290.01462
87,2093,289.732
88,2094,289.79193
89,2095,289.97684
90,2096,289.9614
91,2097,290.0575
92,2098,290.25906
93,2099,290.1849
