,year,temp
0,2006,287.5231
1,2007,287.5539
2,2008,287.58017
3,2009,287.73438
4,2010,287.79266
5,2011,287.60107
6,2012,287.74927
7,2013,288.00577
8,2014,288.06354
9,2015,287.58823
10,2016,287.49854
11,2017,287.6153
12,2018,287.91977
13,2019,288.17465
14,2020,287.89825
15,2021,287.91623
16,2022,287.9993
17,2023,288.1164
18,2024,288.11877
19,2025,288.04056
20,2026,288.03656
21,2027,288.125
22,2028,288.3995
23,2029,288.52048
24,2030,288.15723
25,2031,287.98282
26,2032,288.18307
27,2033,288.42337
28,2034,288.72345
29,2035,288.34747
30,2036,288.19818
31,2037,288.27087
32,2038,288.445
33,2039,288.56885
34,2040,288.36832
35,2041,288.414
36,2042,288.71454
37,2043,288.93103
38,2044,288.6248
39,2045,288.5319
40,2046,288.59818
41,2047,288.78955
42,2048,288.92056
43,2049,288.70978
44,2050,288.62906
45,2051,288.6964
46,2052,288.97223
47,2053,289.23956
48,2054,289.1832
49,2055,289.2066
50,2056,289.10342
51,2057,289.12503
52,2058,289.2865
53,2059,289.4297
54,2060,289.6015
55,2061,289.26288
56,2062,289.1507
57,2063,289.33362
58,2064,289.54327
59,2065,289.7059
60,2066,289.8203
61,2067,289.6761
62,2068,289.51288
63,2069,289.51944
64,2070,289.6515
65,2071,289.94586
66,2072,289.92215
67,2073,289.8657
68,2074,289.7849
69,2075,289.9374
70,2076,290.276
71,2077,290.3701
72,2078,290.10706
73,2079,289.97665
74,2080,290.0947
75,2081,290.2672
76,2082,290.53122
77,2083,290.52994
78,2084,290.25223
79,2085,290.20953
80,2086,290.4352
81,2087,290.66418
82,2088,290.62967
83,2089,290.53513
84,2090,290.5886
85,2091,290.8119
86,2092,290.80258
87,2093,290.49893
88,2094,290.52408
89,2095,290.73175
90,2096,290.8576
91,2097,291.0742
92,2098,291.27054
93,2099,290.98477
