,,k_temp,k_conc
AT,Paddy rice,0.05770839163467337,0.0010672275389662263
AT,Wheat,0.022959617848504765,0.0007840367787640808
AT,Cereal grains nec,0.06688370747214073,0.0006227424980533493
AT,"Vegetables, fruit, nuts",0.07050633986199839,0.0008666769350710811
AT,Oil seeds,0.09172015388097933,0.0010727082159897251
AT,"Sugar cane, sugar beet",0.11025283123980122,0.0008704991311028176
AT,Plant-based fibers,0.07758208173474768,0.0007914514001917544
AT,Crops nec,0.07758208173474768,0.0007914514001917544
AU,Paddy rice,-0.18229336015937878,0.0016695960196322988
AU,Wheat,-0.07650092265613735,0.0006527679283609794
AU,Cereal grains nec,-0.11970112004543501,0.0008175499533604108
AU,"Vegetables, fruit, nuts",-0.19394198620477476,0.0016005520991897735
AU,Oil seeds,-0.14781811664630667,0.002079738856776432
AU,"Sugar cane, sugar beet",-0.13917817048874925,0.0008573495483770174
AU,Plant-based fibers,-0.14470849870461006,0.001335772597166391
AU,Crops nec,-0.14470849870461006,0.001335772597166391
BE,Paddy rice,0.03250918967868798,0.0011236829367292736
BE,Wheat,-0.003357060676071879,0.0006910703693264203
BE,Cereal grains nec,0.028920438060417712,0.0005928466147665245
BE,"Vegetables, fruit, nuts",0.04325996761714923,0.0009307917469456189
BE,Oil seeds,0.049372495631586036,0.00103124523733256
BE,"Sugar cane, sugar beet",0.04289887226433229,0.0009056455364273926
BE,Plant-based fibers,0.0370815787864482,0.0007705176876834081
BE,Crops nec,0.0370815787864482,0.0007705176876834081
BG,Paddy rice,-0.03670833316683386,0.0012257670045429656
BG,Wheat,0.05940550270820246,0.0007037049315495489
BG,Cereal grains nec,0.014031966050014982,0.0006838331963432236
BG,"Vegetables, fruit, nuts",0.1884316357855416,0.0011502594272903358
BG,Oil seeds,0.06900077389443995,0.0011969171767782733
BG,"Sugar cane, sugar beet",0.23979369972002373,0.0005445377978394062
BG,Plant-based fibers,0.07389914342420478,0.0008665949916956048
BG,Crops nec,0.07389914342420478,0.0008665949916956048
BR,Paddy rice,-0.06945589331936318,0.0009714908890778788
BR,Wheat,-0.11138882593874742,0.0008219436695266778
BR,Cereal grains nec,-0.07140624987188433,0.0005829193044099119
BR,"Vegetables, fruit, nuts",-0.04480939231425444,0.0015651675011809276
BR,Oil seeds,-0.08273937865495315,0.0014597885427627526
BR,"Sugar cane, sugar beet",-0.06907108027462461,0.000745374613823529
BR,Plant-based fibers,-0.07371428364469852,0.0009723912665141386
BR,Crops nec,-0.07371428364469852,0.0009723912665141386
CA,Paddy rice,0.0647544625968531,0.0011863509614083163
CA,Wheat,-0.004444104737824737,0.0007444382342688248
CA,Cereal grains nec,0.04041707970797016,0.0006870871024024696
CA,"Vegetables, fruit, nuts",-0.010199737434822477,0.0009150404622886956
CA,Oil seeds,0.1984808690769045,0.0011344641675377534
CA,"Sugar cane, sugar beet",-0.47631713138075743,0.0010325290698029465
CA,Plant-based fibers,0.053532839626390834,0.0008523977290473591
CA,Crops nec,0.053532839626390834,0.0008523977290473591
CH,Paddy rice,0.15247272098367848,0.0011107789938052319
CH,Wheat,0.03348096306967929,0.0006183234955543393
CH,Cereal grains nec,0.07578871415733086,0.0005508474795047648
CH,"Vegetables, fruit, nuts",0.16791336878576602,0.0008005151268618766
CH,Oil seeds,0.1371978330701436,0.0010425247910363397
CH,"Sugar cane, sugar beet",0.31455940500491586,0.0008071141272645297
CH,Plant-based fibers,0.11566002290983612,0.0007361175328031867
CH,Crops nec,0.11566002290983612,0.0007361175328031867
CN,Paddy rice,0.034768823403561105,0.0012868429209049886
CN,Wheat,0.06402312550958746,0.0008568314570058253
CN,Cereal grains nec,0.05425812340462892,0.0007594221831741968
CN,"Vegetables, fruit, nuts",0.384866932976229,0.0013491130033008473
CN,Oil seeds,0.06112883537619522,0.0012845484629779064
CN,"Sugar cane, sugar beet",0.06502931672291891,0.0006282310335393815
CN,Plant-based fibers,0.09356401296412915,0.0009814086413284563
CN,Crops nec,0.09356401296412915,0.0009814086413284563
CY,Paddy rice,-0.09478267859512242,0.0013739421382275869
CY,Wheat,-0.0217303184782853,0.0004137912156158923
CY,Cereal grains nec,-0.05095536241165288,0.0005821173390405701
CY,"Vegetables, fruit, nuts",0.04247255397582073,0.0011988508853617017
CY,Oil seeds,-0.006977100993673364,0.0012936935048318335
CY,"Sugar cane, sugar beet",-0.016612981319399457,0.0013622319888884303
CY,Plant-based fibers,-0.03331265544241718,0.0009964065886427214
CY,Crops nec,-0.03331265544241718,0.0009964065886427214
CZ,Paddy rice,-0.008733397688189263,0.0011204189208867006
CZ,Wheat,0.004948566178556474,0.0009159093381421079
CZ,Cereal grains nec,0.016747562036317894,0.0006677973649198289
CZ,"Vegetables, fruit, nuts",0.016375917613392365,0.0009393319906592586
CZ,Oil seeds,0.04697059653864403,0.0010624073651143548
CZ,"Sugar cane, sugar beet",0.019077761175217915,0.0009400410245571426
CZ,Plant-based fibers,0.026314669988043212,0.0008250991328166647
CZ,Crops nec,0.026314669988043212,0.0008250991328166647
DE,Paddy rice,0.028525953301919142,0.0011226626550098454
DE,Wheat,0.04156850010191831,0.0007810192080739768
DE,Cereal grains nec,0.04481672437933327,0.000623020263628649
DE,"Vegetables, fruit, nuts",0.06796773084361857,0.0009366316449255674
DE,Oil seeds,0.05892330073352066,0.0010218704892095696
DE,"Sugar cane, sugar beet",0.026800480950062606,0.0009339747612844755
DE,Plant-based fibers,0.049545952179705234,0.0007866963265572332
DE,Crops nec,0.049545952179705234,0.0007866963265572332
DK,Paddy rice,0.0391320444551998,0.0010973193531192181
DK,Wheat,0.03518525053684358,0.0006250173943530536
DK,Cereal grains nec,0.03676122993926281,0.000625549702235819
DK,"Vegetables, fruit, nuts",0.03021641631253113,0.0008615182607728663
DK,Oil seeds,0.0607426659898981,0.0009620386284190225
DK,"Sugar cane, sugar beet",0.09132646924316802,0.0008407052761419736
DK,Plant-based fibers,0.047956403667952806,0.0007677876197931002
DK,Crops nec,0.047956403667952806,0.0007677876197931002
EE,Paddy rice,0.014411700780555337,0.0010551187500133386
EE,Wheat,0.014993879055433952,0.0005938223571587512
EE,Cereal grains nec,0.008936999725131874,0.0005839705815713868
