,k
rcp26_gepic_soy_gfdl-esm2m,-0.010784934325878882
rcp26_gepic_soy_hadgem2-es,-0.02776088935744181
rcp26_gepic_soy_ipsl-cm5a-lr,-0.051478652382084766
rcp26_gepic_soy_miroc5,-0.06705356296803766
rcp26_gepic_mai_gfdl-esm2m,-0.026285460080193408
rcp26_gepic_mai_hadgem2-es,-0.04993787040431692
rcp26_gepic_mai_ipsl-cm5a-lr,-0.033626303503935966
rcp26_gepic_mai_miroc5,-0.057721583092743126
rcp26_gepic_whe_gfdl-esm2m,-0.05010013159799022
rcp26_gepic_whe_hadgem2-es,-0.030568298496423087
rcp26_gepic_whe_ipsl-cm5a-lr,-0.04576362854912702
rcp26_gepic_whe_miroc5,-0.04493090374554032
rcp26_gepic_ric_gfdl-esm2m,-0.04432151628641964
rcp26_gepic_ric_hadgem2-es,-0.054869786341589864
rcp26_gepic_ric_ipsl-cm5a-lr,-0.054848886690086675
rcp26_gepic_ric_miroc5,-0.07858097794156074
rcp26_lpjml_soy_gfdl-esm2m,-0.02441204049078233
rcp26_lpjml_soy_hadgem2-es,0.05308816698972184
rcp26_lpjml_soy_ipsl-cm5a-lr,-0.01466008652347862
rcp26_lpjml_soy_miroc5,-0.009046573379104536
rcp26_lpjml_mai_gfdl-esm2m,-0.01458206055154815
rcp26_lpjml_mai_hadgem2-es,0.01381700078111973
rcp26_lpjml_mai_ipsl-cm5a-lr,-0.005609818248107138
rcp26_lpjml_mai_miroc5,-0.013735243050736524
rcp26_lpjml_whe_gfdl-esm2m,-0.021242591674332813
rcp26_lpjml_whe_hadgem2-es,-0.0032072273205147987
rcp26_lpjml_whe_ipsl-cm5a-lr,-0.04349191003291174
rcp26_lpjml_whe_miroc5,-0.019377433448680148
rcp26_lpjml_ric_gfdl-esm2m,-0.08757619797515737
rcp26_lpjml_ric_hadgem2-es,-0.06148582825390568
rcp26_lpjml_ric_ipsl-cm5a-lr,-0.09047016446127686
rcp26_lpjml_ric_miroc5,-0.0919421702682785
rcp26_clm45_soy_gfdl-esm2m,0.17730742013384274
rcp26_clm45_mai_gfdl-esm2m,0.0007536786864599644
rcp60_gepic_soy_gfdl-esm2m,-0.08626022520450917
rcp60_gepic_soy_hadgem2-es,-0.0840989904890674
rcp60_gepic_soy_ipsl-cm5a-lr,-0.07994472718979327
rcp60_gepic_soy_miroc5,-0.08371937645451324
rcp60_gepic_mai_gfdl-esm2m,-0.06834203829264512
rcp60_gepic_mai_hadgem2-es,-0.06426242485646504
rcp60_gepic_mai_ipsl-cm5a-lr,-0.057246066360638656
rcp60_gepic_mai_miroc5,-0.0622234526348629
rcp60_gepic_whe_gfdl-esm2m,-0.06810143190972394
rcp60_gepic_whe_hadgem2-es,-0.0668927852955584
rcp60_gepic_whe_ipsl-cm5a-lr,-0.06481328978689063
rcp60_gepic_whe_miroc5,-0.06424789776954107
rcp60_gepic_ric_gfdl-esm2m,-0.09297191441616094
rcp60_gepic_ric_hadgem2-es,-0.0833648345652544
rcp60_gepic_ric_ipsl-cm5a-lr,-0.07924535198758755
rcp60_gepic_ric_miroc5,-0.07847970875663121
rcp60_clm45_soy_gfdl-esm2m,0.026699302628570974
rcp60_clm45_mai_gfdl-esm2m,-0.050190294189480886
