,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.3197083448124769,-0.1023063483023994,-0.08624526717186197,-0.10377948887627586,-0.17813318746581672,-0.04919514858853469,-0.08999799952263732,-0.07056485908185531
rcp26,soy,-0.3369772399920112,-0.06038486291262264,-0.0729162326430148,-0.05492404586350497,-0.28259961006408196,-0.03577159682287527,-0.10321730252731932,-0.05089931076338857
rcp26,ric,-0.4146633282739915,-0.16456779098977317,-0.11131348725365184,-0.1297010938149598,-0.46045752921293076,-0.1225878080950606,-0.17222984271379732,-0.13950697371427703
rcp26,whe,-0.20034076167736842,-0.07802721766247227,-0.055905560992962317,-0.05399047704088758,-0.11498747035455362,-0.08154139009890647,-0.044894981328384126,-0.03448054704018586
rcp26,cas,-,-,-,-,-0.4663878140030523,-0.16681126581554118,-0.17001958347039264,-0.12788911815443868
rcp26,mil,-,-,-,-,-0.15218849176452034,-0.03920462927538332,-0.0664824612386397,-0.04962345415810296
rcp26,nut,-,-,-,-,-0.6134176623904325,-0.1280747265720131,-0.2501968146537502,-0.17562230446088356
rcp26,pea,-,-,-,-,-0.3137396383613142,-0.08931389269455921,-0.1296231697958801,-0.08775140734301966
rcp26,rap,-,-,-,-,-0.4448432161111256,-0.12445066986969669,-0.15364089465611866,-0.10667180913652809
rcp26,sgb,-,-,-,-,-0.37082474323463915,-0.09242530344375724,-0.15962622435915952,-0.09544793710229095
rcp26,sug,-,-,-,-,-0.16791537405891013,-0.07597648917644231,-0.08360801065062655,-0.06760128188416814
rcp26,sun,-,-,-,-,-0.33400754074425243,-0.1451344468094463,-0.19213278983954413,-0.11709907651528592
rcp60,mai,-0.1196268573152639,-0.09476498424974938,-0.09380838412656418,-0.06688350208112477,-,-,-,-
rcp60,soy,-0.10562487124329172,-0.0830113427387641,-0.08699440559532715,-0.06506106807793398,-,-,-,-
rcp60,ric,-0.14881337812969336,-0.11606544583861857,-0.12407747991879993,-0.08353616395699129,-,-,-,-
rcp60,whe,-0.0884719723725038,-0.06527558510578413,-0.05014852764466982,-0.049946580554969845,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
