,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.19288550550239927,0.004776345667370451,0.0046630771297273025,-0.027428784208117063,-0.06088925982423271,0.06164324316440331,-0.0029575114816529488,-0.0171745978309794
rcp26,soy,-0.07829712401435555,-0.06823228060096966,0.022853873826092018,-0.040360536256036285,0.5251782556810707,-0.033278883612158215,0.0112334121663024,-0.04760635791194043
rcp26,ric,-0.0803409002018176,-0.08343459718832388,0.030051015183466145,-0.03242723388245039,0.22116616115038198,-0.11610055480206748,-0.03892378932843103,-0.08203661767014697
rcp26,whe,0.15925438081316695,0.1373981716423018,0.03464264273054887,0.09516831667486633,0.1683705710770287,0.08884609739793378,-0.025903523631878284,0.03574020037465382
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,0.7397920921345817,-0.0186487219724444,-0.009575254630465336,-0.031743512485191104
rcp26,nut,-,-,-,-,0.7136551295064585,0.11248149882756021,0.08030258685687666,0.09652542425691397
rcp26,pea,-,-,-,-,0.9836591269823263,-0.0742037092720922,-0.07474249272032452,-0.08098638184774322
rcp26,rap,-,-,-,-,0.5163213623452159,-0.06579519789932835,-0.0686694936750557,-0.0772764185792151
rcp26,sgb,-,-,-,-,1.38397360801397,-0.04754507253921329,-0.0732754798380865,-0.06270398590743674
rcp26,sug,-,-,-,-,0.7756551596345844,-0.011985936917182296,0.001312740049633291,-0.04708143473607926
rcp26,sun,-,-,-,-,1.112619972897308,-0.04065655947202005,0.014249779350088055,-0.050172966154544626
rcp60,mai,-0.0302710167306435,-0.052653179244184445,-0.02451282843992184,-0.05322197824167454,-,-,-,-
rcp60,soy,-0.056443586939103646,-0.08252328205463556,-0.0350037966721915,-0.07812469453572361,-,-,-,-
rcp60,ric,-0.057622536181016794,-0.08549499763561688,-0.034861190317001065,-0.08047475712898242,-,-,-,-
rcp60,whe,-0.021453234467545094,0.018579046426446498,-0.0005617227800668327,0.022785086240972842,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
