,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.036874396077971654,-0.0076039544756284615,-0.013667891860212998,-0.028843492523612253,-0.1036465247959293,-0.026090414547563487,-0.0585475089768844,-0.03353655453451185
rcp26,soy,-0.10120050352572099,0.00039209909937938414,-0.07471531271586952,-0.06828391349089069,-0.1448105659256008,-0.03278774985254804,-0.11288657181870113,-0.07557567905050554
rcp26,ric,-0.07949032556059292,-0.013414043356632127,-0.047705107783181856,-0.03504840227767534,-0.16873100976403177,-0.046260462155984394,-0.11204947843069443,-0.08466932057244339
rcp26,whe,-0.21327551077844262,-0.03115344825058328,-0.14279336522183714,-0.10588810103547512,-0.06654820080499632,-0.019982508733607535,-0.11155161310156046,-0.11069961463086049
rcp26,cas,-,-,-,-,-0.0870481101312803,-0.028059657125735847,-0.08907780225040733,-0.08564596695737639
rcp26,mil,-,-,-,-,-0.11410204975937542,-0.020665470477500135,-0.060382014485762456,-0.017024073839335484
rcp26,nut,-,-,-,-,-0.2019038820842258,-0.03987663979870256,-0.13133189077731927,-0.1019489302301656
rcp26,pea,-,-,-,-,0.06418895402800388,0.004483977765617295,-0.059980272525386055,-0.07733626131747076
rcp26,rap,-,-,-,-,-0.12572682036209448,-0.02454624008263,-0.09314429117869148,-0.07726650484734152
rcp26,sgb,-,-,-,-,-0.15386808001689106,-0.01970545500768058,-0.09620049350971209,-0.059176456213621526
rcp26,sug,-,-,-,-,-0.062424525710015666,-0.019025755307060233,-0.07775082016704951,-0.06441705626496617
rcp26,sun,-,-,-,-,-0.16080263537194067,-0.032091742738129335,-0.09489930868214504,-0.06285038078124928
rcp60,mai,-0.03917076741229796,-0.058479891718861546,-0.03551312175236422,-0.031965236540233984,-,-,-,-
rcp60,soy,-0.08725414160474293,-0.10985408544988272,-0.09456007376527849,-0.08192315095447987,-,-,-,-
rcp60,ric,-0.059902010617006445,-0.07832275320758134,-0.05844390592036386,-0.04943390018617034,-,-,-,-
rcp60,whe,-0.11177290902815018,-0.15325666605207686,-0.14574209943348898,-0.12400187419389008,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
