,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.05068829252989949,0.09820654033734079,0.07844380693012577,0.00449081305227192,-0.04272090489085018,0.3575941119326015,0.20388306134455153,0.11273778080718841
rcp26,soy,0.040802980290007035,0.15181122181910953,0.1327352494627531,0.035357449298498746,0.029148082352000514,1.2803206416237436,0.7170705887613104,0.5165659786148933
rcp26,ric,0.0073005149302248,0.22591408350332262,0.16067820679073858,0.057653992955952305,0.18172876893990375,-0.16245750307774806,-0.04971814716181262,-0.14929521646401878
rcp26,whe,-0.055529442815326624,0.006632250644307998,0.022232263608531585,-0.005054535818322093,-0.10240138794264696,0.09551782674976902,0.020063958973246202,0.07699288854170426
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,-0.12409622465179855,0.17959732384065116,0.050564040405497473,-0.04991724967481688
rcp26,nut,-,-,-,-,,,,
rcp26,pea,-,-,-,-,-0.6019700847572454,0.21515345252786494,0.35793587710417907,-0.011918194614088455
rcp26,rap,-,-,-,-,-0.2252530534269247,0.1583669803746602,0.07858980724991615,0.07429971588832773
rcp26,sgb,-,-,-,-,-0.49408088619641805,-0.5666663934324049,-0.5528376254866634,-0.29168362040754336
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,-0.08145372543955624,0.3453505663119859,0.27923918248549434,0.20042386756744637
rcp60,mai,0.00953723380295424,0.01437438002027679,0.03899788408175972,0.011954589202612127,-,-,-,-
rcp60,soy,0.06243270728395447,0.04251214482713301,0.07738872053881772,0.05390827565451849,-,-,-,-
rcp60,ric,0.09498257041786862,0.11108970942696689,0.13995212960478773,0.15922444129605148,-,-,-,-
rcp60,whe,-0.01709001852649326,-0.031771244342151936,-0.020813837904858905,-0.04210797802165614,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
