,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.17951114065160415,-0.12457685697698062,-0.08489750697814649,-0.057522946478818636,-0.05410521239171549,0.025237106006814367,-0.027142390932916146,-0.10048541480579881
rcp26,soy,0.12150104177311197,0.00330093279039134,-0.009444462058922678,0.003191524864708758,0.05051127836340144,0.044322611207178404,-0.040816258125768064,-0.04337983159717724
rcp26,ric,-0.1108240133438274,-0.120331717160749,-0.07992903623011555,-0.04731638982207779,-0.1994078707980017,-0.08433191937900505,-0.11182269393740588,-0.16831274836809446
rcp26,whe,0.01061794993154123,-0.08654899293297497,-0.047226444326356184,0.0697862126425794,-0.06822684591516459,-0.09730456590623082,-0.07973140670386805,-0.003991504787719765
rcp26,cas,-,-,-,-,0.06851025040547395,0.21968909148403992,0.08965741575470942,0.0852619963316979
rcp26,mil,-,-,-,-,0.10420359171269357,0.03282505798551876,-0.01992210485659287,-0.038423524941159415
rcp26,nut,-,-,-,-,-0.2528288695140398,-0.033873274168635184,-0.1305005158129518,-0.21013114431746502
rcp26,pea,-,-,-,-,-0.007231182288429395,-0.04111186221407469,-0.052943758003192884,-0.022051519663658366
rcp26,rap,-,-,-,-,-0.027851049968053602,-0.04682311562278916,-0.06160701541025098,-0.009563989228508497
rcp26,sgb,-,-,-,-,0.012577520014592733,-0.0033147908753056237,-0.03710902602960434,-0.038605628387280586
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.035728875206107756,0.03784154749325547,-0.048856919405416394,-0.05140367752665144
rcp60,mai,-0.04065764194681419,-0.020197236019454074,-0.018644243620253735,-0.036238066689994554,-,-,-,-
rcp60,soy,-0.040520267817564515,-0.02880579153287378,-0.007135398720647593,-0.019732054556998484,-,-,-,-
rcp60,ric,-0.07802873360490971,-0.03848029512032047,-0.016838722444894826,-0.08176800293206711,-,-,-,-
rcp60,whe,0.0031007048133938142,-0.0013037907897027183,0.029428433794356137,0.010636428440722915,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
