,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.08209820664699152,-0.035370023122000424,0.09656917493129967,-0.04540179955573411,0.03560772060277053,0.0381557157759955,0.07473205188123404,-0.002651368187151542
rcp26,soy,0.13379704201361153,0.00047911544363910376,0.14388515902101665,-0.08868506898146063,0.016038841679637015,-0.001978642329005471,0.062457216422972105,-0.011063653815915115
rcp26,ric,0.1154114051440784,-0.029108343729622108,0.11956625236176238,-0.0563578907320067,0.08888222119218381,0.001990463730826508,0.07458506750654946,-0.033632133912924383
rcp26,whe,-0.03251338980609687,-0.012155523049114273,-0.06259471413340936,-0.0001643074732604577,-0.06892222645895023,-0.08325890522622284,-0.036651879781939116,-0.03869601119604264
rcp26,cas,-,-,-,-,0.3513960168215443,0.5683330951252128,0.1481013508294312,0.1423951104298479
rcp26,mil,-,-,-,-,0.1457917058768954,0.027790849481876743,0.10961728742953986,-0.040463669962093975
rcp26,nut,-,-,-,-,0.1508390716201535,0.012057827326195727,0.09500867131135919,-0.11113409586422765
rcp26,pea,-,-,-,-,0.11760632710624282,-0.04001497678590957,0.07727818418329448,-0.07285815730567986
rcp26,rap,-,-,-,-,0.07622031295319238,-0.049101258692661236,0.0763910237773958,-0.08959658493194789
rcp26,sgb,-,-,-,-,0.02656809906971993,-0.031077475284159873,0.039169111832915354,-0.06506460976990032
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.053611516243720354,0.01437149393584272,0.11378357697232203,-0.04393555978107798
rcp60,mai,-0.07639266175005978,-0.043718358246636155,-0.02019947271505468,-0.06010381011681439,-,-,-,-
rcp60,soy,-0.09696886000967161,-0.06372181379928091,-0.03776566690664101,-0.09173954092255934,-,-,-,-
rcp60,ric,-0.0849756929848905,-0.0475410636376475,-0.025522702355342295,-0.06858676917996456,-,-,-,-
rcp60,whe,-0.010029242153587466,-0.01440022142108933,-0.024969571845192672,-0.014653749528045377,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
