,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.017773219641786898,0.003534726452008467,0.07849866220902127,-0.0018256620958462433,0.11945187182620184,0.10435656530874295,0.08695498418555353,0.01909771054403265
rcp26,soy,0.058460510360474276,0.014507823263027514,0.09737205876161072,-0.012606273961961578,0.14675131512839812,0.11788626041199902,0.09823095389906637,0.015697003496899245
rcp26,ric,0.005696584442555312,0.12865643768000895,0.05853978567655282,0.026322724482176624,0.09541508619526383,0.04574393118048239,0.0963072516976538,0.020126943002817328
rcp26,whe,-0.004553425697260855,0.10433042427288976,0.030521205096620603,0.02268886986417015,0.018862445181161817,0.03400103795030989,0.009425281255928519,-0.015885487554536594
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,0.15491431961057472,0.04663668639305628,0.0591982248467312,0.0028971893117255595
rcp26,nut,-,-,-,-,0.20611689259659888,-0.06112218722992377,-0.009343535595010166,0.12363193286646008
rcp26,pea,-,-,-,-,0.16464171463539495,-0.06251643020376177,0.011818665306308351,-0.020035636668807165
rcp26,rap,-,-,-,-,0.011106362756415775,0.06975949319078821,0.00997320326951971,-0.018684870342434
rcp26,sgb,-,-,-,-,0.0767244558516956,-0.05022039628035904,0.011820473023242531,-0.0029269604623645036
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.0636051323647998,0.10132621370394784,0.13558691896783054,0.03314965707018389
rcp60,mai,-0.05047217511929494,-0.043031741777236954,-0.03411815495774544,-0.015154470107550708,-,-,-,-
rcp60,soy,-0.04429345319647005,-0.04458406470405723,-0.038294223912496324,-0.014435946087313845,-,-,-,-
rcp60,ric,0.032608420698003904,-0.04753577696214263,-0.018141355696831764,0.019672839077124984,-,-,-,-
rcp60,whe,0.027600881184976632,0.004738291718073704,-0.015928855480804537,0.039955525255223244,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
