,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.06220797309737039,-0.08589928065899415,-0.02253212044658588,-0.0550411236184903,0.018647022677307768,-0.014481720510396477,-0.021141624440623695,-0.04463551710491617
rcp26,soy,-0.030443731739748695,-0.15328980225691774,-0.022544635797379246,-0.12462512757110518,0.04340363447424946,-0.11108596557569127,-0.08061875730151662,-0.1284561116472862
rcp26,ric,-0.008736138497160005,-0.1279036476483596,-0.020488016558845017,-0.10566414509989666,-0.10110167694757485,-0.16113396493589716,-0.08699563111173551,-0.1669536007653408
rcp26,whe,0.03691102745285955,0.05977829470302819,0.012653025421913067,0.0526461200674113,0.02134684217063877,-0.0022648266108910367,-0.05651845871006179,-0.028656396501125083
rcp26,cas,-,-,-,-,0.37749805258898156,0.4388188738086763,0.25705992307960746,0.3146177605870135
rcp26,mil,-,-,-,-,0.08262302705981982,-0.0106131010012086,-0.017821594123713442,-0.02773814893428221
rcp26,nut,-,-,-,-,-0.07793026284409615,-0.19343737729208174,-0.1350192727676798,-0.1800816019347807
rcp26,pea,-,-,-,-,-0.03182374968844473,-0.08601287265993945,-0.06537282765936184,-0.10537535620030035
rcp26,rap,-,-,-,-,0.020887534438322832,0.02055268663472984,-0.03497211853660939,-0.047520549766104474
rcp26,sgb,-,-,-,-,0.07595996132805344,-0.04830349910601542,-0.0627357035437964,-0.07548531960483605
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,-0.012357748444264256,-0.06555696026079492,-0.04369827304662017,-0.08254023858306243
rcp60,mai,-0.05696557321195313,-0.03652087946861509,-0.03758214138212161,-0.07187184822582347,-,-,-,-
rcp60,soy,-0.10263561237189127,-0.0782656890160549,-0.07172366351782508,-0.12603946472838026,-,-,-,-
rcp60,ric,-0.09710923823498405,-0.07234594018904571,-0.06352774323641301,-0.11308403693087046,-,-,-,-
rcp60,whe,0.023422644773741258,0.007020790268594087,0.004728153387840832,-0.002293633736255318,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
