,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.05603207203597663,-0.056482601798328605,-0.011803787477496936,-0.049329983323924194,-0.024044891242414667,-0.053756892860924575,-0.007359609949443944,-0.05757181543942908
rcp26,soy,-0.07493542345913984,-0.061057518537552855,-0.04116564159431991,-0.06404135284529275,-0.05992913917400398,-0.07059712612879243,-0.04213577482321045,-0.07883005340313395
rcp26,ric,-0.1289070469998465,0.00015708627355739616,-0.003910012663560231,-0.0439534973788846,-0.15686750564329077,-0.02552130745003552,-0.03372132567046914,-0.07996610520557597
rcp26,whe,-0.1603709601341785,-0.07562753261580837,-0.10703401690313319,-0.1421106322372712,-0.13442229810338646,-0.03820289439340502,-0.054230853197586214,-0.0712422044661918
rcp26,cas,-,-,-,-,-0.1810737737112709,-0.05540752931547186,-0.06201738334117485,-0.0832745457154772
rcp26,mil,-,-,-,-,-0.09619498595420578,-0.015205722633257129,-0.035615262515298514,-0.04834161500124118
rcp26,nut,-,-,-,-,-0.060835900829202226,-0.07629453657147985,-0.07723309636099658,-0.0873916650047436
rcp26,pea,-,-,-,-,-0.03167257940954811,-0.06191762555997217,-0.05151676074565566,-0.06067102426938499
rcp26,rap,-,-,-,-,-0.12799231522622367,-0.040808301448034295,-0.0647584436414512,-0.07577333185671267
rcp26,sgb,-,-,-,-,-0.08828160752636684,-0.030206207305683953,-0.06875468718504511,-0.06656079416416653
rcp26,sug,-,-,-,-,-0.06088106858724293,0.022339195465720454,-0.044777919012533314,-0.02600552692118477
rcp26,sun,-,-,-,-,-0.12992918646304133,-0.025936085775127557,-0.05998776147183665,-0.060874659425867596
rcp60,mai,-0.0875699785169497,-0.05905626060598841,-0.06727418783267668,-0.046899999823786495,-,-,-,-
rcp60,soy,-0.11393873176390314,-0.07982642190555125,-0.09209317258512914,-0.06781907911756987,-,-,-,-
rcp60,ric,-0.08641048962868228,-0.06668836708109431,-0.07202940844152116,-0.04835501748091441,-,-,-,-
rcp60,whe,-0.13844708769504277,-0.1107180680425004,-0.14246738852892693,-0.11796166664578092,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
