,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.11060662965167055,-0.02683183682159747,-0.05575107687374602,-0.005723343180494339,0.24886395924623694,0.07530988620332597,-0.05506990174821328,0.048884485299712725
rcp26,soy,0.2282288335666974,-0.0160693464940493,-0.12874595260767505,-0.020607360463383337,0.16154203255276942,0.01268418321095729,-0.1213153866477618,-0.015124492886689198
rcp26,ric,0.1374497305565269,-0.04423432840065394,-0.1146761619416504,0.014879727892748596,0.13748944795389587,-0.017898019862236287,-0.10993508857764453,-0.011860352246462435
rcp26,whe,-0.008409488315820446,-0.06013379947359474,-0.18599658141019862,-0.010653378938739582,0.05128493312996108,-0.011421048593777522,-0.09468281252608166,-0.07095612675801151
rcp26,cas,-,-,-,-,0.0040371383472987,-0.15917475296708905,-0.12754400693411558,-0.028857630967519473
rcp26,mil,-,-,-,-,0.16497332720615293,0.028597980692319922,-0.032250703735031694,0.02100287525206101
rcp26,nut,-,-,-,-,0.04194396342745044,-0.05162175482388986,-0.13622120430835527,-0.015193566203007021
rcp26,pea,-,-,-,-,0.04800424165562253,0.047654198212421915,-0.07176800842804451,-0.020489932833828595
rcp26,rap,-,-,-,-,-0.05682133613688061,0.017404971927528226,-0.06971539578934083,-0.05388006755584356
rcp26,sgb,-,-,-,-,-0.13250194314634747,-0.021312303896753124,-0.0648634262231414,0.07548506982252688
rcp26,sug,-,-,-,-,0.022160152488842375,-0.0737429826743293,-0.07835870389690194,-0.02433425849405158
rcp26,sun,-,-,-,-,0.07159724911442299,0.012423008865966038,-0.08661686122130208,0.03894632573875095
rcp60,mai,-0.05936558920166246,-0.06351831255248712,-0.07564745211511946,-0.03207003787148204,-,-,-,-
rcp60,soy,-0.10851176319081174,-0.09116136635725203,-0.11144027962190435,-0.05832379687157082,-,-,-,-
rcp60,ric,-0.09757750348840297,-0.08743396470980722,-0.1048310864662666,-0.05082508710172185,-,-,-,-
rcp60,whe,-0.13384030799687566,-0.12846229837605055,-0.14190561837462484,-0.08859035950798354,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
