,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.04113154349419488,-0.0754506130410475,0.00579340447746061,-0.021621262907396778,0.04483242754238889,0.021414143559967336,0.007621092327717617,0.004820628678472367
rcp26,soy,0.044348592078111274,-0.08138039340480879,0.012900550282541189,-0.0477849045592007,0.017681450963038768,-0.05049123865909541,-0.025012459684191368,-0.013624558916373687
rcp26,ric,0.0805570636999138,-0.10332641884780414,0.005097041336010249,-0.060748215948892764,0.036783412606400744,-0.0891568550083866,-0.02916793534764891,-0.03244508443125699
rcp26,whe,0.010614742465485263,0.04924840293466868,-0.029288708530296307,0.0023785055804256875,-0.06747963990572176,-0.0004389846440059778,-0.03612992888072592,-0.03328991280822079
rcp26,cas,-,-,-,-,0.22215984103292583,0.19443946999867184,0.06841470760073522,0.09867554075013085
rcp26,mil,-,-,-,-,0.1160306594094654,0.030633680869018055,0.015973007987967962,0.03422394044862972
rcp26,nut,-,-,-,-,0.014643110315302367,-0.15140811737222498,-0.07137139935856322,-0.04685529260102986
rcp26,pea,-,-,-,-,0.011801174958687263,-0.0140550325162882,-0.019733250090333113,0.0031410885794322225
rcp26,rap,-,-,-,-,0.002115564656502939,-0.026395848631612182,-0.011100643823978388,-0.01772703131196292
rcp26,sgb,-,-,-,-,0.01420182114584822,-0.042354666521541254,-0.022351209172545256,-0.00766016356648435
rcp26,sug,-,-,-,-,-0.0026530216052913715,-0.02489462996697757,0.0072504548972749695,0.01713519641582787
rcp26,sun,-,-,-,-,0.051043640307068636,-0.02788423803291797,-0.007582263656799796,-0.009112304377488015
rcp60,mai,-0.0685934559934088,-0.047776315153157715,-0.050256156531588964,-0.07559944244005477,-,-,-,-
rcp60,soy,-0.09116357244220132,-0.07639024750024043,-0.06691408499216735,-0.1052589068858296,-,-,-,-
rcp60,ric,-0.10590268091329799,-0.08168703225596656,-0.07015211095697299,-0.11076321862716172,-,-,-,-
rcp60,whe,0.007997044899065452,-0.02232420364158403,-0.019246698683611074,-0.023781634131966312,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
