,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.05790872818844397,0.051962203761846404,-0.016484974815508806,0.0035271927133743264,0.07459491406531632,0.09759845801498374,-0.005842306161830363,0.033111592483270835
rcp26,soy,0.17740743128763062,0.11053510797760355,0.035803604477396354,0.0188656488698444,0.09537012383721288,0.14352669631374237,-0.03259280932737071,0.05111898359765263
rcp26,ric,0.07813134140770243,-0.02145950210794793,-0.06413430650657487,0.0008485260878047002,0.09699120087137916,0.011282484457573039,-0.06738256338922034,-0.0005128759143430479
rcp26,whe,0.11701846078441859,0.09242776866978097,0.06331847041726546,0.06228768283437867,0.15195411834026604,-0.015594455854541644,0.06062192091453523,0.07801468221578063
rcp26,cas,-,-,-,-,-0.05337174809406093,-0.08959080225871972,-0.06766653009042078,-0.09709300563690415
rcp26,mil,-,-,-,-,0.12060027830726316,0.1353074126066161,-0.03596057816042642,0.07237710289307837
rcp26,nut,-,-,-,-,0.05905896116555562,0.026123022293371382,-0.09545839974822745,0.01740338671548695
rcp26,pea,-,-,-,-,0.07712760901365055,-0.04424260384831873,-0.04481877069368898,-0.014135774624701442
rcp26,rap,-,-,-,-,0.08011805941063645,-0.06102995452357718,-0.02306873081360466,-0.01893989351314239
rcp26,sgb,-,-,-,-,0.12076589042161356,-0.069016120302461,-0.022773875134284416,-0.009083271895626915
rcp26,sug,-,-,-,-,0.04636136254074064,-0.029152696419453814,-0.018829523367393155,-0.0358260465206269
rcp26,sun,-,-,-,-,0.14627544685779692,0.1312850127235759,0.0368451748769361,0.03370549742706119
rcp60,mai,-0.03374317689223569,-0.019928625700245766,-0.009331637116250527,0.010788966038683232,-,-,-,-
rcp60,soy,-0.023489075742596493,0.0012248205256770596,0.023628228880195563,0.01713112295599408,-,-,-,-
rcp60,ric,-0.07331096607785342,-0.05920057675719281,-0.06387027133126812,-0.03318614130557975,-,-,-,-
rcp60,whe,0.03441471977911702,0.014153846378291476,0.013896289871827066,0.029859170355160752,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
