,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.11576905898911315,0.13706343674739932,0.05457276773557142,0.10288829834286026,0.1954783824433075,0.14348345674605306,0.06797921721256049,0.12891933281938453
rcp26,soy,0.1445082796089603,0.10232301171220133,0.043439529466368886,0.1036812555051087,0.19444148295972027,0.04746795626109039,0.03163547532768472,0.08056488365927633
rcp26,ric,0.1859310332535547,0.0655239343929974,0.008407703615776736,0.04265680852297632,0.20050166056595697,-0.09421095139080572,0.01623005400961036,0.010988819564457337
rcp26,whe,0.18343982084677626,0.09277479975645042,0.05247015217527382,0.08469213388904366,0.23033858155419348,-0.01401934340715972,0.07035205929661105,0.09579180484830911
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,0.3260985598972369,-0.018716428028406028,0.01872615462858346,0.09303231364763642
rcp26,nut,-,-,-,-,0.19897327824038002,-0.1653468415266907,0.0011982027280296199,-0.04746804756040889
rcp26,pea,-,-,-,-,0.2664295586470697,-0.07721559134254415,0.037172768938932295,0.05905338869503424
rcp26,rap,-,-,-,-,0.22414190161635356,-0.05499292820252234,0.03808111945082933,0.06708557580507456
rcp26,sgb,-,-,-,-,0.1888197144203287,-0.022712665094109588,0.0463932731556804,0.08230440940538178
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.12601270494792619,0.05160024284480719,0.08263796518007306,0.12431132927708767
rcp60,mai,-0.0435069600882719,-0.014272964500828838,0.05730118496828945,0.04062418250717197,-,-,-,-
rcp60,soy,-0.06112334244509361,-0.03933707021114145,0.03465624758520899,0.02292593118114766,-,-,-,-
rcp60,ric,-0.09681708725829435,-0.07122260893917406,-0.009176753690436268,-0.021192649678924706,-,-,-,-
rcp60,whe,0.0196212547893113,-0.00749189882193384,-0.01202929753356969,0.01740269722234791,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
