,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.001901776357167605,-0.015109544165230793,-0.03506725848579209,-0.0834282481018801,-0.11571330638069328,0.006723959717817111,-0.00163519830733726,-0.014848457915316174
rcp26,soy,0.044149660792763584,0.026531349770052417,-0.08443007256001966,-0.13230905388652553,-0.029098613624115085,0.005701672055418304,-0.0787381401332355,-0.10442779337775025
rcp26,ric,0.06427534319410383,0.020902114805259282,-0.07142832549872216,-0.12019456659136449,-0.00447282607945685,-0.0023943696567669632,-0.1084655693389072,-0.13639346726688867
rcp26,whe,-0.03806992943561324,-0.14526855179969195,-0.06902959882378501,-0.08667611732031737,0.016361071097267043,-0.0054686329988731215,-0.05249333826740123,-0.11761677977710566
rcp26,cas,-,-,-,-,0.0030060060770301183,0.04053585849771243,-0.058686648934339995,-0.04329864986051694
rcp26,mil,-,-,-,-,0.028420291321028406,-0.05005914066056954,-0.04043954212451161,-0.03846514118157511
rcp26,nut,-,-,-,-,0.051879028228750165,0.024828452137745215,-0.14556848066600772,-0.17423540673303775
rcp26,pea,-,-,-,-,0.026294458980365934,0.012713964291459401,-0.09260451182410624,-0.10617487411150091
rcp26,rap,-,-,-,-,-0.028955740449122313,0.0038000153555471645,-0.0878796982670618,-0.11805024242948273
rcp26,sgb,-,-,-,-,0.026892331964380643,-0.07150271689273892,-0.06893316509472477,-0.07204622532988364
rcp26,sug,-,-,-,-,-0.013160567199430755,-0.028406220287833562,-0.08837044115076788,-0.08063320754963132
rcp26,sun,-,-,-,-,-0.011290307140014536,0.0035239590360464424,-0.07134377195701648,-0.0960453681791373
rcp60,mai,-0.08914628186129656,-0.07868332130518262,-0.08327555168091069,-0.08532905827707518,-,-,-,-
rcp60,soy,-0.12427669175285319,-0.10830823811617235,-0.12614126801161052,-0.12577413595306325,-,-,-,-
rcp60,ric,-0.11721484803356431,-0.09258372364740167,-0.11034272575081479,-0.11131007352944854,-,-,-,-
rcp60,whe,-0.10485772161518701,-0.09976735577566237,-0.08693608337071711,-0.10629902204534182,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
