,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.014753998075536425,0.04732791256176668,0.015852785922709087,0.08617916227239864,-0.047755622392733045,0.11368927401244114,0.04280185358789813,0.03385460093896309
rcp26,soy,0.06355096081099224,0.0575923683630656,0.013203342730599556,0.08492733426200261,0.2122306525080624,0.18400616448358917,0.07474680394468665,0.0533896252144041
rcp26,ric,-0.11391519469535402,0.021319143203645606,0.024961875463637408,0.054574757508773386,0.030465582009688793,0.05001420918803905,-0.08053831526439872,0.014237567263076512
rcp26,whe,0.07020155310026213,0.06338522152001985,0.057545463450536086,0.061223512764400266,0.0883957324652264,0.04803245668049268,0.004133788687437346,0.0038254441724955594
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,0.718067471819091,0.18148972151205908,0.10408614985343288,0.03246115610132192
rcp26,nut,-,-,-,-,,,,
rcp26,pea,-,-,-,-,0.1256876692405877,0.030560785215667408,-0.05948841547244417,0.07346879772132887
rcp26,rap,-,-,-,-,0.04440898012807605,0.04768290220633417,-0.0008213450925517343,-0.01670455944023549
rcp26,sgb,-,-,-,-,0.1769609353051856,0.021990143778751425,-0.05660489740070722,0.07258012225833954
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,-0.18107773006669137,0.09677019852409303,0.05967298744322457,-0.005488159480399035
rcp60,mai,-0.023142972169866747,-0.0318352850730042,-0.0060066978437662705,0.019747154265154675,-,-,-,-
rcp60,soy,-0.019514897660625564,-0.03181678795438068,-0.0030430479726829837,0.020098495739752677,-,-,-,-
rcp60,ric,-0.03391683480065318,-0.025924207658560728,-0.011164759199836262,0.02176226780358904,-,-,-,-
rcp60,whe,0.05970683686765704,-0.015259209473800868,-0.013640901299074765,0.008295965030648568,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
