,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.024703783041528107,0.02105624050556344,0.040058315127618524,0.008244466324187976,0.032501960215412476,0.053885691163286696,0.03942827571553517,0.02849974382084843
rcp26,soy,0.02346246871175016,0.042876904991494845,0.03102775989899446,-0.004854674844719244,-0.014307896728562407,0.015143844730928965,0.006903631607788418,0.007235119993781937
rcp26,ric,0.09153036682081944,0.05296046201530575,0.1479401065840208,-0.019020530386897345,0.031716549228758585,0.01617994794496368,0.10677061023110371,-0.04081444396451517
rcp26,whe,-0.07007363828112258,-0.013572787743650174,-0.07249911357177694,-0.02198948709750273,-0.05077573871711647,-0.022852393022165497,-0.039465134689920044,-0.016333763453900262
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,0.0725678212627552,0.037020191920461076,0.03607849245513423,0.007575213103853681
rcp26,nut,-,-,-,-,0.19292797339132628,0.04991580501682469,0.0929547473811218,-0.01217220974513845
rcp26,pea,-,-,-,-,-0.02217946952205855,0.030454694082920796,0.05671128193615216,0.000641791087099632
rcp26,rap,-,-,-,-,-0.056345463186487144,-0.017381086502380277,-0.02712466927974304,-0.012608942754179635
rcp26,sgb,-,-,-,-,-0.018589222840661886,0.009844384084058928,-0.018065256280050956,-0.010740529268815236
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.041913511756775226,0.056558420757651676,0.07766881509588719,0.019496986803816493
rcp60,mai,-0.0544472258505241,-0.03749846207402765,-0.02323661515008939,-0.04279085409827297,-,-,-,-
rcp60,soy,-0.04654926819350595,-0.03674496076780288,-0.026211016531616282,-0.04260735998562102,-,-,-,-
rcp60,ric,-0.10449191144700212,-0.04627618447714507,-0.0366118056433281,-0.07070736706880651,-,-,-,-
rcp60,whe,-0.006589965731778445,-0.018968251905244756,-0.025062145413007005,-0.02389402542309183,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
