,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.11438426208312963,0.040067498235770875,0.003984783920756972,0.036616748493756686,-0.08346423784859786,0.13361690034764306,0.017993639394035345,0.00754837121276217
rcp26,soy,-0.0010466373461297802,-0.08402440649887213,0.03984146884534158,0.0518507706918397,0.3444707782657001,0.06905857225713118,0.12997003349852215,0.07415343020847988
rcp26,ric,-0.000464659580897663,-0.09286680284080823,0.042041557619439306,0.06118962644993678,0.11980190364567836,0.006813647060659721,0.10247933387112343,0.06494927823074052
rcp26,whe,0.06224788722637426,0.14979239028495542,0.01460724676845497,0.1289164467519506,0.11395540958758749,0.08144632393749716,-0.02111031284193574,0.038048071556115316
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,0.39901658467446144,0.051700002255237576,0.12641518713470618,0.07303971964577957
rcp26,nut,-,-,-,-,0.022547138556319946,-0.29070368727457807,-0.07510124560469877,-0.041041485504687635
rcp26,pea,-,-,-,-,0.4237111911504783,-0.10180341372777763,-0.05100076512434895,-0.005149582508653703
rcp26,rap,-,-,-,-,0.23647158387718317,-0.045594182744853516,-0.03903940683208904,-0.001312927242595628
rcp26,sgb,-,-,-,-,0.6258173724870103,-0.06437236048873238,-0.05228204151880489,0.017492464941891297
rcp26,sug,-,-,-,-,0.5542700581223913,-0.015283329500799022,0.03251587314358909,0.005692920179352736
rcp26,sun,-,-,-,-,0.499365980037008,0.013539551184229538,0.06553564776264444,0.033658812840513794
rcp60,mai,-0.0010969745761880275,-0.03971117861825848,-0.02130183322515275,-0.0279770424230871,-,-,-,-
rcp60,soy,-0.018951252478169783,-0.07476817740704263,-0.02380658718773414,-0.04783944071591319,-,-,-,-
rcp60,ric,-0.01506118207912603,-0.06946478315006158,-0.021232270110349623,-0.04148626272738887,-,-,-,-
rcp60,whe,-0.012062955683096522,0.0032260260788875067,3.356931498469334e-05,0.015399356371184095,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
