,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.051209735270113466,0.003311930568454949,0.045400552888729795,0.002678795900630132,-0.2598768447295709,0.053868099603231044,0.03830093849739162,0.03071265410792369
rcp26,soy,0.016115965732186367,0.05934805704881019,0.09101619971003842,0.05996656501995396,-0.23521206204852946,0.3329319596210587,0.23160378777116733,0.2661155691951772
rcp26,ric,-0.010558783334252123,0.0723632784923863,0.11764740561818124,0.08066570002062123,0.6195833992475617,-0.060175051420300184,-0.035812500555691074,-0.20151621779205764
rcp26,whe,0.11527126317793983,-0.006876393725920731,0.02325965208146768,-0.02015252569015914,0.17071241421735353,0.06866084903473149,0.051474394348557946,0.0671957876680547
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,-0.23017458999110582,0.10560024919678909,0.10550134587859067,0.013817689058835483
rcp26,nut,-,-,-,-,-2.005961675308783,2.377207068549582,1.9775529157875622,1.3828283930580987
rcp26,pea,-,-,-,-,-0.14262122546189407,-0.07859729449759985,-0.02924899359467959,-0.045079589448362066
rcp26,rap,-,-,-,-,0.1778791846857143,0.04118969773614117,0.04967140349471092,0.03461553908516024
rcp26,sgb,-,-,-,-,-0.20340633485935197,0.13889331736122115,0.10417187771817477,0.11661588746699215
rcp26,sug,-,-,-,-,0.4456817414584613,0.005345362728380528,-0.02660470007459236,-0.11182485599976578
rcp26,sun,-,-,-,-,-0.33711685893749477,0.3168570944177561,0.19533687281916653,0.231929305564352
rcp60,mai,0.04535393637571789,-0.019148310569290204,0.00923957941712385,-0.0015673953003901894,-,-,-,-
rcp60,soy,0.09137492026536145,0.004625822850150848,0.04453663830767501,0.03352542602712072,-,-,-,-
rcp60,ric,0.08540381588947468,0.02362551480375333,0.05861424296447687,0.061168660144062456,-,-,-,-
rcp60,whe,-0.03493588152353077,-0.030611178046494193,-0.023310985420209464,-0.04745594029166846,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
