,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.06365328973488377,0.039819062142037856,-0.006373776072782285,0.1071398074483052,-0.06468928261423444,0.15255741739278902,0.04017612106569695,0.0772736761936895
rcp26,soy,0.005103351574020582,-0.003172315623097625,-0.008908427184773278,0.05697929556696272,0.17641033849076995,0.10565112070590477,0.0535830290543733,0.07093059159595738
rcp26,ric,-0.08399537315957603,0.057009755462744664,-0.01713577428792432,0.049447687793991696,0.058750694395747184,0.03260941320343211,-0.09108992767984504,0.00816254674028724
rcp26,whe,0.17194459013515434,0.03696026293865811,-0.024116105489722317,0.06913045887072569,0.051753009073725126,0.07984418149558924,-0.032659681146091274,0.07747101187651607
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,0.3337362403571099,0.23765389244099375,0.28929253826708,0.1896589010321111
rcp26,nut,-,-,-,-,,,,
rcp26,pea,-,-,-,-,0.13606825813501464,-0.02055865553731546,-0.06347953822772098,0.055726303334338985
rcp26,rap,-,-,-,-,0.04683366647196112,-0.01030036158310711,-0.0490117556996521,0.055076353044522554
rcp26,sgb,-,-,-,-,0.18123574988003946,-0.028120135433900528,-0.060758251847845245,0.06768097854953195
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.08412743544813076,0.13175006519241492,0.0553241619414678,0.06148876383569897
rcp60,mai,-0.0026536031896223604,-0.026609671485199392,-0.0034152574926488116,0.026297110943153176,-,-,-,-
rcp60,soy,-0.009323028336131283,-0.04497580818474346,-0.013604155003860065,0.007349132411867591,-,-,-,-
rcp60,ric,0.014380711487849827,-0.04806049717374996,-0.01609561385453955,0.003829992857661571,-,-,-,-
rcp60,whe,-0.0857934327001317,-0.022779379887966262,-0.0020366398998874365,0.009276211916792728,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
