,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.05932795683279779,-0.0863657867994197,-0.04297366812719616,-0.09315731653098461,0.059765648342585805,-0.012008269105953973,-0.013468340690095624,-0.052175313151536305
rcp26,soy,-0.1001602840166823,-0.0417098430216106,-0.0614101113043854,-0.04763563171483476,0.017082407041465755,-0.019422117387468837,-0.03959604649013902,-0.049725817898429225
rcp26,ric,0.05854715705172346,-0.1037671970205796,-0.05215540164137123,-0.13132182090239275,0.1310559554352343,-0.12312287132671142,-0.08086697605240704,-0.12975061937235763
rcp26,whe,0.16089116618418386,0.05455012281031832,0.01912896970267054,0.030502490083372937,0.035011238459964567,0.07092722869439089,-0.03814693536414725,-0.050735551825401265
rcp26,cas,-,-,-,-,0.14972254979686161,0.1428103190552133,0.036304233165063794,0.029473661288200264
rcp26,mil,-,-,-,-,0.10207497764855036,-0.038595554599418345,-0.01229451929423569,-0.04407483969228096
rcp26,nut,-,-,-,-,0.18625027896197593,0.11141116391182404,0.060307770485410424,0.011665984148636151
rcp26,pea,-,-,-,-,0.3064832427269142,-0.0030330855809252454,-0.07194721520783011,-0.06772599942514257
rcp26,rap,-,-,-,-,0.33327105563913306,-0.05151839710131896,-0.08169698116900807,-0.10609504309977473
rcp26,sgb,-,-,-,-,0.3342899092721893,0.00790802126686563,-0.08254162729847367,-0.05902919956995779
rcp26,sug,-,-,-,-,0.17556713789109876,0.004877900399804752,-0.05776780221548806,-0.05397430542993367
rcp26,sun,-,-,-,-,-0.033198635515281606,-0.06937122926639365,-0.06263901509379503,-0.10254671914398948
rcp60,mai,-0.06547997655062844,-0.070335187817072,-0.04029924026117589,-0.09688338193451816,-,-,-,-
rcp60,soy,-0.03455938553122343,-0.045462922098824285,-0.025647378117224336,-0.07614100975072051,-,-,-,-
rcp60,ric,-0.08516104239238402,-0.09055313098330314,-0.059008233357059084,-0.1198468201786773,-,-,-,-
rcp60,whe,0.020961996276276252,-0.001147487844331675,0.015256428391850034,-0.004586221774319895,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
