,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.026068130063596713,0.2424162047386272,0.060245998405767234,0.20278318169370085,0.2567153456746017,0.3809680528827637,0.10507833005694764,0.4247274508860221
rcp26,soy,0.06358022244405431,-0.011708534213674576,-0.010494928770203766,0.0038779412247551943,0.06205225668602246,-0.014892188791514983,-0.03765895716039442,-0.02076037556730935
rcp26,ric,0.03788981089184325,0.07805812873852973,0.009616710898594082,0.043974795412485765,0.0038052655750170548,0.11902694501134675,-0.015659194258132496,0.02936436555549858
rcp26,whe,0.002352820125907632,0.19501947147054252,0.005787388396682985,0.07717090678180798,-0.00839486274320439,0.1790647751903966,0.006660548258301063,0.10390807567190792
rcp26,cas,-,-,-,-,0.05638481768559393,0.005787223367896498,-0.03462841245000096,-0.036610356173471977
rcp26,mil,-,-,-,-,0.05432717310083035,0.12715719516487403,0.011843886359165114,0.07667823479071847
rcp26,nut,-,-,-,-,-0.015139367114504903,-0.020680947689480644,-0.06662738997906213,-0.10765027030469504
rcp26,pea,-,-,-,-,0.038870868230931416,-0.01332502695404428,-0.039943154974069035,-0.04546576611709531
rcp26,rap,-,-,-,-,0.007399808405824918,0.1672761732703369,0.003760530916422257,0.09607670879726656
rcp26,sgb,-,-,-,-,0.02811835695360479,0.1119766076172796,0.0006330117735343902,0.05940079557040168
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.11082471162483915,0.20010302506347322,0.03601262993139253,0.21796279704283303
rcp60,mai,-0.0125712767680794,0.024777527850854533,0.03009791138747138,0.04323933142551021,-,-,-,-
rcp60,soy,-0.03559179851980486,-0.04472812980312109,-0.030464914147821938,-0.03940488999404504,-,-,-,-
rcp60,ric,-0.037338557906227886,-0.021507177954757817,-0.021936561485316194,-0.01710367176311084,-,-,-,-
rcp60,whe,-0.032181771905061204,-0.014501230220711264,0.004333227714290149,-0.00022204463667937512,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
