,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.12221242034194085,-0.13221297537910895,-0.026499050925501203,-0.07132968397679586,0.08141763370192631,-0.02844703970281732,0.009373992367329487,-0.024272111637735565
rcp26,soy,0.2258911351972229,-0.13539154741931894,-0.019159195672561698,-0.09381843438777444,0.195361859231652,-0.10136596540495675,-0.020389106009858632,-0.094233386070418
rcp26,ric,0.21971627330021207,-0.16356879916459757,-0.03165760352403651,-0.0949568563979042,0.15141623371699023,-0.17199930686904585,-0.06829265472566279,-0.11700895518608016
rcp26,whe,-0.01266745710128216,-0.08605957430800074,0.007625309235211749,-0.02853309620418139,-0.005765649937261678,-0.029607118234588194,-0.0033250472239253754,-0.037727688049117615
rcp26,cas,-,-,-,-,-0.004485622316984245,0.14303014757442525,0.10585973068419356,-0.10050574909432106
rcp26,mil,-,-,-,-,0.01800218020264549,0.005534000660738742,-0.02515020677807883,-0.04234439375186382
rcp26,nut,-,-,-,-,0.32989577913638063,-0.1537496865735501,-0.10682348596155763,-0.16534681997643766
rcp26,pea,-,-,-,-,0.10951853825263044,-0.052041840942522226,-0.042166510476608715,-0.08589580799202001
rcp26,rap,-,-,-,-,0.05984762677987757,-0.04074775395995264,0.03678301968895269,-0.03535366875292677
rcp26,sgb,-,-,-,-,0.12100608029419035,-0.025593110768150767,-0.007042822055983203,-0.09848651651975991
rcp26,sug,-,-,-,-,-0.07813768362677681,0.029116266443091926,0.047282265394641865,-0.023387798013874514
rcp26,sun,-,-,-,-,0.17195610951280912,0.019631905435797077,-0.0012569785305863242,-0.07001751444767829
rcp60,mai,-0.0908392781057706,-0.07125197507101629,-0.06891721502138441,-0.09392494111915774,-,-,-,-
rcp60,soy,-0.1047662035068112,-0.08230706165891813,-0.07431270352216944,-0.10386743185159154,-,-,-,-
rcp60,ric,-0.10884204409310362,-0.08192297144454759,-0.08051791045301304,-0.10318329610886735,-,-,-,-
rcp60,whe,-0.04053769062093301,-0.030148698614847202,-0.021023176641110062,-0.04183973059099219,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
