,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.02268363148484191,-0.032186055338851376,-0.002094904097334241,-0.007781173235054242,-0.08596120671443533,0.05422458942713994,-0.01490236331517508,0.014048113217766372
rcp26,soy,-0.06888212395982174,0.037171701356409126,-0.0694106445368841,-0.0546153856655147,-0.13931066999263778,0.024840884528565733,-0.07092821260969934,-0.04457628889030832
rcp26,ric,0.024413748569139387,-0.005872138017815116,-0.02200587778291936,-0.026566559531425674,-0.20443932698313935,0.011125528690270798,-0.07404237175447674,-0.06677304851892761
rcp26,whe,-0.12671921061773933,-0.135614394817015,-0.022053437752261092,-0.055888684195825246,-0.07569745404463922,-0.09984023300522059,-0.0838462122277624,-0.0898764780346496
rcp26,cas,-,-,-,-,0.04800271268201014,0.016994072851711506,-0.10858882918253868,-0.013191300428786672
rcp26,mil,-,-,-,-,-0.12858449495207055,0.02912035142337683,-0.030562761912077047,-0.022923002435137018
rcp26,nut,-,-,-,-,-0.2781790438062754,0.11565401193702525,-0.19383778162655702,-0.11184030347468832
rcp26,pea,-,-,-,-,-0.06672339314922386,-0.0557263151015104,-0.05069302042615146,-0.056422142726330254
rcp26,rap,-,-,-,-,-0.14745016816784487,-0.015791168678283615,-0.07532445633454292,-0.041862891680535336
rcp26,sgb,-,-,-,-,-0.152418272064249,-0.001735393867322297,-0.09657175103172289,-0.0564135816098707
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,-0.10890814516302792,0.024078335997973883,-0.09213612380466399,-0.024800293640367715
rcp60,mai,-0.025504387639165675,-0.041650630257406326,-0.044631480190878405,-0.035278072165539645,-,-,-,-
rcp60,soy,-0.08465028760248558,-0.0775709320659551,-0.0892447320199489,-0.09361529965390729,-,-,-,-
rcp60,ric,-0.040929928632863655,-0.04658280507028236,-0.049403990760981356,-0.048689356080961935,-,-,-,-
rcp60,whe,-0.1216749360824276,-0.07876708618045054,-0.07973171773639956,-0.08035421207375311,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
